timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,4.78,,
2026-04-29 16:00:00-04:00,4.33,4.17,-3.8
2026-02-11 16:00:00-05:00,3.88,3.37,-13.02
2025-10-29 16:00:00-04:00,3.43,3.89,13.15
2025-07-30 16:00:00-04:00,3.44,3.79,10.3
2025-04-30 16:00:00-04:00,2.97,3.59,20.82
2025-02-12 16:00:00-05:00,2.74,2.97,8.44
2024-10-30 16:00:00-04:00,2.96,3.1,4.61
2024-08-07 12:00:00-04:00,2.7,3.16,16.83
2024-05-08 16:00:00-04:00,2.64,2.43,-7.93
2024-02-14 16:00:00-05:00,2.17,2.4,10.5
2023-10-25 16:00:00-04:00,2.2,2.93,33.24
2023-08-02 16:00:00-04:00,2.11,2.21,4.9
2023-05-03 16:00:00-04:00,2.17,2.77,27.38
2023-02-15 16:00:00-05:00,1.72,1.39,-19.22
2022-11-02 16:00:00-04:00,1.79,2.3,28.24
2022-07-27 16:00:00-04:00,1.83,2.37,29.8
2022-04-27 16:00:00-04:00,1.62,1.62,-0.1
2022-02-16 16:00:00-05:00,1.42,1.36,-4.22
2021-11-03 16:00:00-04:00,1.6,1.68,4.93
2021-07-28 16:00:00-04:00,1.84,0.76,-58.68
2021-04-28 16:00:00-04:00,1.75,1.74,-0.84
2021-02-10 16:00:00-05:00,1.5,0.57,-61.99
2020-10-28 16:00:00-04:00,1.71,0.74,-56.64
2020-07-29 16:00:00-04:00,1.63,1.52,-6.83
