timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 16:00:00-04:00,0.51,,
2026-04-28 16:00:00-04:00,0.29,0.23,-20.08
2026-02-05 16:00:00-05:00,0.38,0.28,-25.46
2025-10-28 16:00:00-04:00,0.42,0.37,-11.45
2025-08-04 16:00:00-04:00,0.3,0.34,12.63
2025-04-29 16:00:00-04:00,0.27,0.26,-4.87
2025-02-03 16:00:00-05:00,0.4,0.26,-35.88
2024-10-30 16:00:00-04:00,0.39,0.38,-4.25
2024-07-29 16:00:00-04:00,0.37,0.35,-4.45
2024-04-23 16:00:00-04:00,0.34,0.27,-19.22
2024-01-30 16:00:00-05:00,0.43,0.4,-8.2
2023-10-31 16:00:00-04:00,0.41,0.37,-8.98
2023-07-27 16:00:00-04:00,0.38,0.35,-7.63
2023-04-25 16:00:00-04:00,0.32,0.28,-12.26
2023-02-09 16:00:00-05:00,0.38,0.41,7.09
2022-10-25 16:00:00-04:00,0.34,0.32,-4.8
2022-07-26 16:00:00-04:00,0.26,0.3,16.39
2022-04-26 16:00:00-04:00,0.22,0.18,-17.97
2022-02-01 16:00:00-05:00,0.24,0.15,-38.29
2021-10-26 16:00:00-04:00,0.26,0.17,-32.65
2021-07-27 16:00:00-04:00,0.19,0.24,22.91
2021-04-27 16:00:00-04:00,0.16,0.15,-8.7
2021-02-10 16:00:00-05:00,0.22,0.19,-13.23
2020-10-27 16:00:00-04:00,0.31,0.23,-25.04
2020-07-28 16:00:00-04:00,0.31,0.3,-2.14
