timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 16:00:00-04:00,0.94,,
2026-05-06 16:00:00-04:00,1.63,1.73,6.21
2026-02-12 16:00:00-05:00,1.1,1.12,1.64
2025-11-04 16:00:00-05:00,1.15,1.19,3.62
2025-07-31 16:00:00-04:00,0.95,0.96,0.96
2025-05-01 16:00:00-04:00,1.51,1.5,-0.65
2025-02-11 16:00:00-05:00,0.99,1.01,1.68
2024-11-04 16:00:00-05:00,1.08,1.13,4.28
2024-07-31 16:00:00-04:00,0.96,0.95,-1.47
2024-05-01 17:00:00-04:00,1.47,1.49,1.14
2024-02-13 17:00:00-05:00,0.97,0.95,-2.42
2023-11-06 06:00:00-05:00,0.98,0.97,-1.28
2023-07-31 16:00:00-04:00,0.91,1.0,9.82
2023-05-03 16:00:00-04:00,1.34,1.41,4.97
2023-02-13 16:00:00-05:00,0.94,0.92,-2.5
2022-11-02 16:00:00-04:00,1.04,1.01,-3.21
2022-07-28 16:00:00-04:00,0.84,0.86,2.49
2022-05-04 16:00:00-04:00,1.19,1.3,8.88
2022-02-16 16:00:00-05:00,0.92,0.91,-1.13
2021-11-02 16:00:00-04:00,1.05,1.02,-2.95
2021-07-29 16:00:00-04:00,0.8,0.79,-1.17
2021-05-10 06:00:00-04:00,1.08,1.15,6.06
2021-02-16 16:00:00-05:00,0.85,0.85,0.29
2020-11-03 16:00:00-05:00,1.01,1.02,0.65
2020-07-30 16:00:00-04:00,0.77,0.76,-1.84
