timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,1.47,,
2026-04-28 16:00:00-04:00,1.43,1.65,15.55
2026-02-04 16:00:00-05:00,1.47,1.25,-14.88
2025-10-29 16:00:00-04:00,1.67,1.59,-4.71
2025-07-29 16:00:00-04:00,1.41,1.48,5.1
2025-04-29 16:00:00-04:00,1.41,1.44,2.57
2025-02-04 16:00:00-05:00,1.36,0.65,-52.45
2024-10-29 16:00:00-04:00,1.35,1.34,-0.4
2024-07-30 16:00:00-04:00,1.45,1.43,-0.78
2024-04-30 16:00:00-04:00,1.36,2.06,51.45
2024-02-06 16:00:00-05:00,1.46,1.01,-30.85
2023-10-26 16:00:00-04:00,1.44,1.37,-5.2
2023-07-27 16:00:00-04:00,1.39,1.58,13.51
2023-04-27 16:00:00-04:00,1.31,1.46,10.92
2023-02-07 16:00:00-05:00,1.4,1.37,-2.45
2022-10-26 16:00:00-04:00,1.41,1.19,-15.88
2022-07-26 16:00:00-04:00,1.58,0.87,-44.82
2022-04-26 16:00:00-04:00,1.28,1.08,-15.7
2022-02-02 16:00:00-05:00,1.05,2.25,113.89
2021-10-26 16:00:00-04:00,1.04,1.21,15.69
2021-07-29 16:00:00-04:00,0.99,1.0,1.01
2021-04-27 16:00:00-04:00,0.98,1.1,12.08
2021-02-04 16:00:00-05:00,0.96,1.48,54.51
2020-10-28 16:00:00-04:00,1.17,1.42,21.8
2020-08-03 16:00:00-04:00,1.16,1.14,-1.81
