timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,0.91,,
2026-05-07 07:00:00-04:00,0.61,0.69,13.81
2026-02-19 07:00:00-05:00,0.55,0.42,-24.26
2025-11-06 06:00:00-05:00,2.06,2.03,-1.41
2025-08-07 07:00:00-04:00,0.77,0.82,5.95
2025-05-08 07:00:00-04:00,0.67,0.54,-19.57
2025-02-27 07:00:00-05:00,0.37,0.35,-6.53
2024-11-07 07:00:00-05:00,1.94,2.02,4.36
2024-08-09 06:00:00-04:00,0.89,0.9,0.59
2024-05-09 07:00:00-04:00,0.64,0.54,-15.15
2024-02-29 07:00:00-05:00,0.28,0.27,-2.34
2023-11-07 06:00:00-05:00,1.84,1.88,1.98
2023-08-04 06:00:00-04:00,0.77,0.81,4.97
2023-05-05 06:00:00-04:00,0.58,0.59,1.72
2023-02-24 07:00:00-05:00,0.27,0.3,12.92
2022-11-04 07:00:00-04:00,1.89,2.01,6.54
2022-08-04 07:00:00-04:00,0.84,0.86,2.59
2022-05-05 07:00:00-04:00,0.55,0.58,4.78
2022-02-25 07:00:00-05:00,0.15,0.16,9.43
2021-11-03 07:00:00-04:00,1.77,1.98,11.79
2021-08-05 06:00:00-04:00,0.73,0.85,16.44
2021-05-06 06:00:00-04:00,0.49,0.55,13.4
2021-02-26 06:00:00-05:00,0.25,0.22,-11.38
2020-11-05 06:00:00-05:00,1.56,1.73,11.13
2020-08-05 07:00:00-04:00,0.68,0.68,0.49
