timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 16:00:00-04:00,0.74,,
2026-04-23 16:00:00-04:00,0.73,0.78,7.33
2026-02-10 16:00:00-05:00,0.62,0.58,-6.27
2025-10-30 16:00:00-04:00,0.59,0.67,12.63
2025-07-24 16:00:00-04:00,0.62,0.67,7.64
2025-04-23 16:00:00-04:00,0.6,0.64,7.46
2025-02-11 16:00:00-05:00,0.55,0.59,6.39
2024-10-24 16:00:00-04:00,0.59,0.67,13.97
2024-07-24 16:00:00-04:00,0.69,0.7,0.88
2024-04-25 16:00:00-04:00,0.64,0.66,2.79
2024-02-06 16:00:00-05:00,0.64,0.64,0.16
2023-10-25 16:00:00-04:00,0.59,0.59,-0.66
2023-07-26 16:00:00-04:00,0.65,0.66,1.89
2023-04-26 16:00:00-04:00,0.61,0.62,2.02
2023-01-31 16:00:00-05:00,0.61,0.64,4.51
2022-10-27 16:00:00-04:00,0.62,0.61,-2.03
2022-07-28 16:00:00-04:00,0.64,0.63,-1.41
2022-04-26 16:00:00-04:00,0.57,0.6,5.24
2022-01-26 16:00:00-05:00,0.55,0.51,-6.83
2021-10-27 16:00:00-04:00,0.53,0.54,1.67
2021-07-29 16:00:00-04:00,0.55,0.64,15.55
2021-04-20 16:00:00-04:00,0.47,0.54,13.87
2021-01-27 16:00:00-05:00,0.53,0.5,-5.46
2020-10-21 16:00:00-04:00,0.44,0.51,15.1
2020-07-23 16:00:00-04:00,0.19,0.34,82.25
