timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,1.15,,
2026-04-28 16:00:00-04:00,3.63,3.83,5.37
2026-02-17 16:00:00-05:00,1.89,2.0,5.85
2025-10-28 16:00:00-04:00,0.85,0.97,14.22
2025-07-29 16:00:00-04:00,1.15,1.1,-4.14
2025-04-29 16:00:00-04:00,1.87,2.02,8.03
2025-02-26 16:00:00-05:00,0.47,0.55,17.54
2024-10-29 16:00:00-04:00,-0.06,0.16,371.42
2024-07-29 16:00:00-04:00,-0.02,0.01,163.01
2024-04-30 16:00:00-04:00,0.61,0.56,-7.6
2024-02-20 16:00:00-05:00,0.7,1.31,88.45
2023-10-31 16:00:00-04:00,0.59,1.09,83.72
2023-08-01 16:00:00-04:00,0.39,0.64,63.14
2023-05-02 16:00:00-04:00,1.69,1.87,10.59
2023-02-21 16:00:00-05:00,2.89,4.22,46.04
2022-11-01 16:00:00-04:00,4.48,5.06,13.06
2022-08-02 16:00:00-04:00,3.75,4.87,29.97
2022-05-04 16:00:00-04:00,2.43,3.09,26.93
2022-02-23 16:00:00-05:00,2.48,2.39,-3.69
2021-11-02 16:00:00-04:00,1.68,2.38,41.47
2021-08-10 16:00:00-04:00,1.18,1.64,39.57
2021-05-11 16:00:00-04:00,1.85,2.71,46.29
2021-03-01 16:00:00-05:00,12.83,20.13,56.94
