timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,5.2,,
2026-05-07 16:00:00-04:00,1.38,1.96,42.34
2026-02-12 16:00:00-05:00,3.37,3.78,12.21
2025-11-06 16:00:00-05:00,6.95,7.57,8.99
2025-08-07 16:00:00-04:00,4.13,4.24,2.62
2025-05-08 16:00:00-04:00,0.36,0.4,11.49
2025-02-06 16:00:00-05:00,2.1,2.39,13.89
2024-11-07 16:00:00-05:00,6.12,6.13,0.17
2024-08-08 16:00:00-04:00,3.16,3.51,10.9
2024-05-02 16:00:00-04:00,-0.17,0.21,223.91
2024-02-08 16:00:00-05:00,1.7,1.72,1.41
2023-11-02 16:00:00-04:00,5.0,5.41,8.23
2023-08-03 09:00:00-04:00,2.36,2.89,22.22
2023-05-04 16:00:00-04:00,0.03,-0.2,-697.91
2023-02-09 16:00:00-05:00,1.69,1.26,-25.28
2022-11-03 16:00:00-04:00,4.13,4.05,-1.94
2022-08-04 16:00:00-04:00,1.59,1.96,23.6
2022-05-02 16:00:00-04:00,-0.46,-0.47,-1.35
2022-02-10 16:00:00-05:00,0.65,1.06,63.02
2021-11-04 16:00:00-04:00,1.76,3.53,100.24
2021-08-05 16:00:00-04:00,-0.6,-1.13,-86.88
2021-05-06 16:00:00-04:00,-2.28,-2.02,11.46
2021-02-11 16:00:00-05:00,-1.91,-2.64,-38.03
2020-11-04 16:00:00-05:00,-0.79,-0.22,72.16
2020-07-30 18:00:00-04:00,-3.32,-4.09,-23.27
