timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,1.15,,
2026-04-28 16:00:00-04:00,1.1,1.14,3.4
2026-02-19 16:00:00-05:00,1.15,1.36,17.89
2025-10-29 16:00:00-04:00,1.19,0.78,-34.22
2025-07-30 16:00:00-04:00,1.18,1.18,-0.22
2025-04-29 16:00:00-04:00,1.03,1.28,24.62
2025-02-25 16:00:00-05:00,1.07,1.24,15.59
2024-10-29 16:00:00-04:00,1.1,0.91,-17.44
2024-07-30 16:00:00-04:00,1.02,0.88,-13.86
2024-04-30 16:00:00-04:00,0.99,1.01,1.77
2024-02-27 16:00:00-05:00,1.19,1.04,-12.97
2023-11-07 16:00:00-05:00,0.94,1.23,30.76
2023-08-03 16:00:00-04:00,1.5,1.5,-0.29
2023-05-02 16:00:00-04:00,1.4,1.46,4.35
2023-02-22 16:00:00-05:00,1.46,1.52,3.76
2022-11-01 16:00:00-04:00,1.58,1.65,4.65
2022-08-02 16:00:00-04:00,1.47,1.63,10.89
2022-05-03 16:00:00-04:00,1.33,1.44,7.87
2022-02-23 16:00:00-05:00,1.4,2.0,42.95
2021-10-27 16:00:00-04:00,1.24,1.4,12.92
2021-07-27 16:00:00-04:00,1.08,1.15,6.39
2021-04-28 16:00:00-04:00,1.02,1.0,-1.51
2021-02-22 16:00:00-05:00,0.92,1.19,29.73
2020-11-04 16:00:00-05:00,0.82,0.88,6.88
2020-08-04 16:00:00-04:00,0.71,0.8,12.07
