timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,0.34,,
2026-04-29 16:00:00-04:00,0.19,0.66,256.64
2026-02-10 16:00:00-05:00,0.19,0.13,-32.87
2025-10-23 16:00:00-04:00,0.36,0.45,25.41
2025-07-30 16:00:00-04:00,0.33,0.37,11.11
2025-05-05 16:00:00-04:00,0.02,0.14,556.97
2025-02-05 16:00:00-05:00,0.32,0.39,20.36
2024-10-28 16:00:00-04:00,0.47,0.49,3.47
2024-07-24 16:00:00-04:00,0.68,0.47,-31.27
2024-04-24 16:00:00-04:00,0.44,0.49,12.16
2024-02-06 16:00:00-05:00,0.12,0.29,137.7
2023-10-26 16:00:00-04:00,0.46,0.39,-14.46
2023-07-27 16:00:00-04:00,0.54,0.72,33.71
2023-05-02 16:00:00-04:00,0.41,0.63,55.22
2023-02-02 16:00:00-05:00,0.62,0.51,-17.59
2022-10-26 17:00:00-04:00,0.3,0.3,-0.38
2022-07-27 16:00:00-04:00,0.45,0.68,52.64
2022-04-27 16:00:00-04:00,0.37,0.38,2.12
2022-02-03 16:00:00-05:00,0.41,0.26,-37.28
2021-10-27 16:00:00-04:00,0.27,0.51,86.44
2021-07-28 16:00:00-04:00,0.03,0.13,301.85
2021-04-28 16:00:00-04:00,0.21,0.89,321.46
2021-02-04 16:00:00-05:00,-0.08,0.34,503.66
2020-10-28 16:00:00-04:00,0.18,0.65,261.94
2020-07-30 16:00:00-04:00,-1.16,-0.35,69.88
