timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-03 16:00:00-04:00,6.19,,
2026-05-04 16:00:00-04:00,3.75,4.23,12.78
2026-02-23 16:00:00-05:00,2.0,1.74,-13.16
2025-11-03 16:00:00-05:00,2.94,3.08,4.59
2025-08-04 16:00:00-04:00,2.72,2.67,-2.01
2025-05-05 16:00:00-04:00,4.2,4.54,8.11
2025-02-24 16:00:00-05:00,3.38,3.64,7.54
2024-11-04 16:00:00-05:00,3.92,3.38,-13.86
2024-08-05 16:00:00-04:00,4.5,4.52,0.46
2024-04-30 16:00:00-04:00,4.41,4.5,2.12
2024-02-20 16:00:00-05:00,4.65,4.74,1.89
2023-11-06 16:00:00-05:00,4.99,5.49,10.03
2023-07-31 16:00:00-04:00,3.89,3.68,-5.38
2023-05-01 16:00:00-04:00,4.3,4.1,-4.57
2023-02-21 16:00:00-05:00,5.27,5.29,0.37
2022-11-07 16:00:00-05:00,6.36,6.48,1.95
2022-08-01 16:00:00-04:00,6.67,7.07,5.99
2022-05-02 16:00:00-04:00,4.67,5.2,11.33
2022-02-22 16:00:00-05:00,3.36,3.63,8.06
2021-11-01 16:00:00-04:00,2.79,2.94,5.47
2021-08-02 16:00:00-04:00,2.2,2.4,9.06
2021-05-03 17:00:00-04:00,1.87,2.3,23.24
2021-02-22 16:00:00-05:00,0.84,0.82,-2.0
2020-11-02 16:00:00-05:00,0.36,0.62,72.17
2020-08-03 16:00:00-04:00,0.03,0.15,450.46
