timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,0.59,,
2026-04-28 16:00:00-04:00,0.72,0.72,0.63
2026-02-17 16:00:00-05:00,0.53,0.53,-0.91
2025-10-22 16:00:00-04:00,0.77,0.83,7.46
2025-07-30 16:00:00-04:00,0.49,0.52,6.88
2025-04-23 16:00:00-04:00,0.59,0.67,13.09
2025-02-26 16:00:00-05:00,0.69,0.67,-2.81
2024-10-29 16:00:00-04:00,0.9,0.85,-6.04
2024-07-30 16:00:00-04:00,0.56,0.56,0.81
2024-04-25 16:00:00-04:00,0.55,0.55,0.73
2024-02-08 16:00:00-05:00,0.59,0.62,4.56
2023-10-26 16:00:00-04:00,0.85,0.88,3.56
2023-08-01 16:00:00-04:00,0.45,0.47,3.61
2023-04-27 16:00:00-04:00,0.61,0.6,-1.64
2023-02-13 16:00:00-05:00,0.53,0.5,-4.84
2022-10-25 16:00:00-04:00,0.79,0.79,0.64
2022-07-26 16:00:00-04:00,0.52,0.53,1.07
2022-04-21 16:00:00-04:00,0.62,0.6,-2.64
2022-02-10 16:00:00-05:00,0.52,0.51,-1.02
2021-10-28 16:00:00-04:00,0.79,0.85,7.62
2021-07-22 16:00:00-04:00,0.56,0.59,4.43
2021-04-22 16:00:00-04:00,0.68,0.69,2.13
2021-02-18 06:00:00-05:00,0.43,0.32,-25.69
2020-11-02 06:00:00-05:00,0.79,0.84,6.03
2020-07-23 16:00:00-04:00,0.55,0.57,4.35
