timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,4.0,,
2026-04-28 16:00:00-04:00,3.46,3.9,12.86
2026-01-27 16:00:00-05:00,3.65,4.45,21.86
2025-10-27 16:00:00-04:00,3.97,4.39,10.62
2025-07-30 16:00:00-04:00,3.49,4.16,19.17
2025-04-28 16:00:00-04:00,3.09,3.42,10.54
2025-01-28 16:00:00-05:00,3.38,3.84,13.67
2024-10-28 16:00:00-04:00,3.45,3.67,6.41
2024-07-29 16:00:00-04:00,2.97,3.36,13.08
2024-04-29 16:00:00-04:00,2.87,2.91,1.46
2024-01-29 16:00:00-05:00,3.04,3.43,12.95
2023-10-24 16:00:00-04:00,3.21,3.5,9.08
2023-07-24 16:00:00-04:00,2.86,3.21,12.31
2023-04-19 16:00:00-04:00,2.42,2.53,4.34
2023-01-24 16:00:00-05:00,2.33,2.47,6.02
2022-10-25 16:00:00-04:00,2.51,2.62,4.43
2022-07-25 16:00:00-04:00,2.23,2.57,15.08
2022-04-26 16:00:00-04:00,2.01,2.13,5.74
2022-01-25 16:00:00-05:00,2.78,2.89,3.81
2021-10-26 16:00:00-04:00,2.75,3.01,9.47
2021-07-26 16:00:00-04:00,2.46,2.76,12.25
2021-04-27 16:00:00-04:00,2.4,2.5,4.36
2021-01-26 16:00:00-05:00,2.46,2.59,5.39
2020-10-26 16:00:00-04:00,2.37,2.43,2.37
2020-07-27 16:00:00-04:00,2.04,2.18,7.09
