timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,1.47,,
2026-05-08 07:00:00-04:00,1.29,1.36,5.68
2026-02-24 07:00:00-05:00,1.69,1.68,-0.5
2025-11-05 07:00:00-05:00,1.48,1.51,1.72
2025-08-05 07:00:00-04:00,1.36,1.36,0.09
2025-05-06 07:00:00-04:00,1.2,1.21,1.05
2025-02-11 07:00:00-05:00,1.36,1.39,2.38
2024-11-04 07:00:00-05:00,1.29,1.4,8.31
2024-08-06 07:00:00-04:00,1.23,1.36,10.37
2024-05-06 16:00:00-04:00,0.96,1.1,14.97
2024-02-26 07:00:00-05:00,1.09,0.94,-13.82
2023-11-07 07:00:00-05:00,1.58,1.65,4.21
2023-08-02 07:00:00-04:00,1.48,1.55,4.69
2023-04-27 07:00:00-04:00,1.21,1.29,6.77
2023-02-13 06:00:00-05:00,1.7,1.71,0.78
2022-11-03 07:00:00-04:00,1.75,1.74,-0.53
2022-08-04 07:00:00-04:00,1.71,1.73,1.13
2022-05-03 07:00:00-04:00,1.46,1.47,0.98
2022-02-15 07:00:00-05:00,1.9,1.92,0.88
2021-11-04 07:00:00-04:00,1.68,1.73,2.93
2021-08-03 07:00:00-04:00,1.55,1.61,3.72
2021-05-06 07:00:00-04:00,1.24,1.3,4.44
2021-02-09 07:00:00-05:00,1.56,1.62,4.15
2020-10-29 07:00:00-04:00,1.41,1.42,0.71
2020-08-04 07:00:00-04:00,1.1,1.15,5.02
