timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 08:00:00-04:00,1.92,,
2026-05-05 07:00:00-04:00,1.58,1.79,13.49
2026-02-10 07:00:00-05:00,1.9,1.99,4.6
2025-10-29 07:00:00-04:00,2.65,2.04,-22.9
2025-07-23 07:00:00-04:00,2.43,2.47,1.49
2025-04-24 07:00:00-04:00,2.08,2.14,3.1
2025-02-05 07:00:00-05:00,2.48,2.51,1.18
2024-10-22 07:00:00-04:00,2.26,2.3,1.6
2024-07-24 07:00:00-04:00,2.1,2.13,1.4
2024-04-23 07:00:00-04:00,1.79,1.88,5.09
2024-02-06 07:00:00-05:00,2.15,2.19,1.67
2023-10-24 07:00:00-04:00,1.93,1.96,1.69
2023-07-26 07:00:00-04:00,1.79,1.81,0.87
2023-04-25 07:00:00-04:00,1.56,1.58,1.09
2023-02-07 07:00:00-05:00,1.91,1.91,0.02
2022-10-27 07:00:00-04:00,1.69,1.63,-3.8
2022-07-26 07:00:00-04:00,1.55,1.56,0.8
2022-04-27 07:00:00-04:00,1.35,1.4,3.59
2022-02-08 07:00:00-05:00,1.56,1.57,0.94
2021-10-27 07:00:00-04:00,1.45,1.47,1.51
2021-07-27 07:00:00-04:00,1.28,1.37,7.07
2021-04-27 07:00:00-04:00,1.13,1.17,3.49
2021-02-09 16:00:00-05:00,1.29,1.3,0.67
2020-10-27 16:00:00-04:00,1.16,1.2,3.85
2020-08-05 16:00:00-04:00,0.93,0.93,-0.14
