timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 16:00:00-04:00,10.42,,
2026-04-23 16:00:00-04:00,6.81,10.51,54.44
2026-02-19 16:00:00-05:00,6.75,9.37,38.71
2025-10-23 16:00:00-04:00,6.29,8.25,31.26
2025-07-24 16:00:00-04:00,4.84,6.53,35.05
2025-04-24 16:00:00-04:00,3.71,4.75,28.12
2025-02-20 16:00:00-05:00,3.67,4.08,11.07
2024-10-24 16:00:00-04:00,3.99,4.09,2.41
2024-07-25 16:00:00-04:00,3.19,3.74,17.19
2024-04-25 16:00:00-04:00,2.08,2.69,29.63
2024-02-22 16:00:00-05:00,2.18,2.55,17.15
2023-10-26 16:00:00-04:00,2.17,2.74,26.29
2023-07-26 16:00:00-04:00,1.62,1.99,23.17
2023-04-26 16:00:00-04:00,1.08,1.51,39.39
2023-02-22 16:00:00-05:00,1.37,1.54,12.41
2022-10-26 16:00:00-04:00,1.39,1.71,23.02
2022-07-27 16:00:00-04:00,1.01,1.17,15.46
2022-04-27 16:00:00-04:00,0.87,0.91,4.2
2022-02-23 16:00:00-05:00,1.05,1.04,-0.95
2021-10-27 16:00:00-04:00,1.01,1.27,25.74
2021-07-28 16:00:00-04:00,0.91,0.9,-1.46
2021-04-28 16:00:00-04:00,0.5,0.73,46.0
2021-02-25 16:00:00-05:00,0.84,0.99,17.86
2020-10-26 16:00:00-04:00,1.02,1.19,16.67
2020-07-27 16:00:00-04:00,0.41,1.08,163.41
