timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,1.36,,
2026-05-11 08:00:00-04:00,1.08,1.32,22.22
2026-02-04 08:00:00-05:00,0.54,0.82,51.85
2025-10-30 07:00:00-04:00,1.09,1.51,38.53
2025-08-05 08:00:00-04:00,1.04,1.27,22.12
2025-05-12 08:00:00-04:00,0.87,1.1,26.44
2025-02-04 08:00:00-05:00,0.62,0.96,54.84
2024-11-04 08:00:00-05:00,1.15,1.45,26.09
2024-08-06 07:00:00-04:00,0.8,0.9,12.5
2024-05-08 08:00:00-04:00,0.96,1.09,13.54
2024-02-07 08:00:00-05:00,0.12,0.34,183.33
2023-11-02 07:00:00-04:00,0.9,1.09,21.11
2023-08-08 08:00:00-04:00,0.72,0.88,22.22
2023-05-09 08:00:00-04:00,0.86,0.94,9.3
2023-02-08 08:00:00-05:00,0.43,0.48,11.63
2022-11-01 08:00:00-04:00,1.12,1.21,8.04
2022-08-10 08:00:00-04:00,0.74,0.74,
2022-05-10 08:00:00-04:00,0.72,0.81,12.5
2022-02-09 08:00:00-05:00,-0.06,0.13,316.67
2020-05-06 17:00:00-04:00,0.76,0.13,-82.89
2020-02-05 16:00:00-05:00,0.04,0.48,1100.0
2019-11-06 16:00:00-05:00,0.73,0.8,9.59
2019-08-07 16:00:00-04:00,0.63,0.73,15.87
