timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,1.34,,
2026-05-11 08:00:00-04:00,0.97,1.32,36.35
2026-02-04 08:00:00-05:00,0.52,0.82,58.6
2025-10-30 07:00:00-04:00,1.1,1.51,37.42
2025-08-05 08:00:00-04:00,1.0,1.27,27.28
2025-05-12 08:00:00-04:00,0.9,1.1,22.62
2025-02-04 08:00:00-05:00,0.64,0.96,50.24
2024-11-04 08:00:00-05:00,1.14,1.45,27.05
2024-08-06 07:00:00-04:00,0.81,0.9,11.03
2024-05-08 08:00:00-04:00,0.96,1.09,13.68
2024-02-07 08:00:00-05:00,0.12,0.34,173.75
2023-11-02 07:00:00-04:00,1.0,1.09,8.81
2023-08-08 08:00:00-04:00,0.72,0.88,22.46
2023-05-09 08:00:00-04:00,0.88,0.94,7.33
2023-02-08 08:00:00-05:00,0.47,0.48,1.07
2022-11-01 08:00:00-04:00,1.14,1.21,5.93
2022-08-10 08:00:00-04:00,0.76,0.74,-2.47
2022-05-10 08:00:00-04:00,0.88,0.81,-7.88
2022-02-09 08:00:00-05:00,0.05,0.13,183.6
2021-11-03 16:00:00-04:00,1.03,1.11,7.65
2021-08-04 16:00:00-04:00,0.58,0.65,12.43
2021-05-05 16:00:00-04:00,0.57,0.88,53.08
2021-02-09 08:00:00-05:00,-0.04,0.16,504.35
2020-11-03 08:00:00-05:00,0.74,1.18,58.9
2020-08-04 16:00:00-04:00,0.58,0.62,6.61
