timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.74,,
2026-05-06 16:00:00-04:00,0.62,0.82,32.63
2026-02-05 16:00:00-05:00,0.74,0.81,8.95
2025-11-05 16:00:00-05:00,0.63,0.74,16.91
2025-08-06 16:00:00-04:00,0.59,0.64,8.27
2025-05-07 16:00:00-04:00,0.53,0.58,9.02
2025-02-06 16:00:00-05:00,0.61,0.74,21.86
2024-11-07 16:00:00-05:00,0.52,0.63,21.52
2024-08-06 16:00:00-04:00,0.41,0.57,40.18
2024-05-02 16:00:00-04:00,0.38,0.43,11.75
2024-02-06 16:00:00-05:00,0.43,0.51,18.14
2023-11-02 16:00:00-04:00,0.36,0.41,12.58
2023-08-03 16:00:00-04:00,0.34,0.38,10.69
2023-05-04 16:00:00-04:00,0.29,0.34,18.93
2023-02-07 16:00:00-05:00,0.39,0.44,12.25
2022-11-02 16:00:00-04:00,0.27,0.33,20.57
2022-08-03 16:00:00-04:00,0.22,0.24,9.35
2022-05-04 16:00:00-04:00,0.16,0.19,17.8
2022-02-03 16:00:00-05:00,0.23,0.25,7.07
2021-11-04 16:00:00-04:00,0.19,0.2,5.33
2021-07-29 16:00:00-04:00,0.17,0.19,9.2
2021-04-29 16:00:00-04:00,0.15,0.16,9.73
2021-02-04 16:00:00-05:00,0.19,0.21,9.59
2020-10-29 16:00:00-04:00,0.16,0.18,12.87
2020-08-06 16:00:00-04:00,0.13,0.16,25.59
