timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,0.71,,
2026-04-30 07:00:00-04:00,0.64,0.7,8.89
2026-02-04 07:00:00-05:00,0.84,0.9,7.36
2025-10-29 07:00:00-04:00,0.57,0.68,19.48
2025-07-30 07:00:00-04:00,0.59,0.58,-2.13
2025-05-01 07:00:00-04:00,0.85,0.85,-0.17
2025-02-07 07:00:00-05:00,1.12,1.17,4.44
2024-10-30 07:00:00-04:00,0.93,0.97,4.15
2024-07-24 07:00:00-04:00,0.92,0.93,1.04
2024-04-24 07:00:00-04:00,0.79,0.83,4.47
2024-01-31 07:00:00-05:00,0.94,0.98,4.45
2023-10-25 07:00:00-04:00,0.85,0.85,0.1
2023-07-26 07:00:00-04:00,0.81,0.85,5.34
2023-04-26 07:00:00-04:00,0.73,0.75,2.58
2023-02-01 07:00:00-05:00,0.84,0.88,4.45
2022-10-26 07:00:00-04:00,0.76,0.79,4.25
2022-07-28 07:00:00-04:00,0.72,0.78,8.17
2022-04-28 07:00:00-04:00,0.68,0.7,3.12
2022-02-03 07:00:00-05:00,0.78,0.79,1.53
2021-10-28 16:00:00-04:00,0.65,0.66,1.34
2021-07-29 16:00:00-04:00,0.6,0.66,9.45
2021-04-29 16:00:00-04:00,0.6,0.63,5.42
2021-02-04 16:00:00-05:00,0.62,0.7,13.06
2020-10-27 16:00:00-04:00,0.86,0.94,9.83
2020-07-28 16:00:00-04:00,0.58,0.68,17.07
