timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,1.69,,
2026-04-30 16:00:00-04:00,1.99,2.05,2.69
2026-02-24 16:00:00-05:00,2.22,2.3,3.72
2025-10-30 16:00:00-04:00,2.15,1.99,-7.1
2025-08-07 16:00:00-04:00,1.34,1.41,5.41
2025-05-01 16:00:00-04:00,1.97,1.86,-5.15
2025-02-13 16:00:00-05:00,1.44,1.36,-5.54
2024-10-30 16:00:00-04:00,1.4,1.8,27.91
2024-08-01 16:00:00-04:00,1.28,1.43,11.43
2024-05-02 16:00:00-04:00,1.16,3.43,196.27
2024-02-13 16:00:00-05:00,1.25,8.53,580.07
2023-11-02 16:00:00-04:00,0.97,1.48,52.3
2023-08-03 16:00:00-04:00,0.56,0.54,-4.25
2023-05-04 16:00:00-04:00,1.61,1.04,-35.54
2023-02-14 16:00:00-05:00,0.8,1.12,40.11
2022-11-03 16:00:00-04:00,0.66,1.17,75.48
2022-08-03 16:00:00-04:00,0.49,0.56,15.17
2022-05-04 16:00:00-04:00,0.85,0.79,-6.69
2022-02-10 16:00:00-05:00,0.41,0.52,25.73
2021-11-03 16:00:00-04:00,0.67,0.84,24.98
2021-08-04 16:00:00-04:00,0.29,0.27,-7.87
2021-05-05 16:00:00-04:00,0.66,0.64,-3.69
2021-02-11 16:00:00-05:00,0.36,0.41,15.44
2020-11-04 16:00:00-05:00,1.07,0.9,-16.19
2020-08-05 16:00:00-04:00,0.89,0.9,0.76
