timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-16 08:00:00-04:00,1.85,,
2026-04-21 06:00:00-04:00,1.6,1.86,16.31
2026-01-22 06:00:00-05:00,1.43,1.57,9.81
2025-10-21 06:00:00-04:00,1.47,1.66,13.01
2025-07-17 06:00:00-04:00,1.43,1.66,15.97
2025-04-22 06:00:00-04:00,1.27,1.49,17.51
2025-01-23 06:00:00-05:00,1.04,1.32,26.9
2024-10-22 06:00:00-04:00,1.13,1.15,1.34
2024-07-23 06:00:00-04:00,0.99,1.2,20.79
2024-04-23 06:00:00-04:00,0.7,0.82,16.42
2024-01-23 06:00:00-05:00,0.9,1.03,14.86
2023-10-24 06:00:00-04:00,0.56,0.82,46.28
2023-07-25 06:00:00-04:00,0.46,0.68,48.14
2023-04-25 06:00:00-04:00,0.14,0.27,97.56
2023-01-24 06:00:00-05:00,1.16,1.24,6.97
2022-10-25 06:00:00-04:00,0.49,0.35,-28.12
2022-07-26 06:00:00-04:00,0.42,0.78,86.22
2022-04-26 06:00:00-04:00,0.22,0.24,7.87
2022-01-25 06:00:00-05:00,0.82,0.92,12.09
2021-10-26 06:00:00-04:00,0.44,0.57,30.03
2021-07-27 06:00:00-04:00,0.27,0.4,49.58
2021-04-27 06:00:00-04:00,0.08,0.24,208.05
2021-01-26 06:00:00-05:00,0.68,0.64,-6.33
2020-10-28 06:00:00-04:00,-0.23,0.48,306.31
2020-07-29 06:00:00-04:00,-0.72,-1.2,-66.42
