timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,0.69,,
2026-05-07 16:00:00-04:00,0.65,0.67,3.4
2026-02-05 16:00:00-05:00,0.63,0.64,1.43
2025-11-06 16:00:00-05:00,0.61,0.62,1.59
2025-08-07 16:00:00-04:00,0.6,0.64,6.72
2025-05-06 16:00:00-04:00,0.58,0.59,1.31
2025-01-30 16:00:00-05:00,0.55,0.56,1.59
2024-10-30 16:00:00-04:00,0.54,0.54,-0.42
2024-08-01 16:00:00-04:00,0.53,0.53,0.61
2024-05-09 16:00:00-04:00,0.52,0.53,1.69
2024-02-01 16:00:00-05:00,0.5,0.49,-1.35
2023-11-07 08:00:00-05:00,0.47,0.47,-0.21
2023-08-03 16:00:00-04:00,0.47,0.47,0.82
2023-05-11 16:00:00-04:00,0.44,0.46,5.18
2023-02-02 16:00:00-05:00,0.43,0.45,5.22
2022-11-08 16:00:00-05:00,0.45,0.45,0.73
2022-08-04 16:00:00-04:00,0.43,0.45,3.7
2022-05-05 16:00:00-04:00,0.45,0.46,2.83
2022-02-03 16:00:00-05:00,0.44,0.44,0.73
2021-11-04 16:00:00-04:00,0.42,0.43,2.38
2021-07-27 16:00:00-04:00,0.41,0.42,2.08
2021-05-10 16:00:00-04:00,0.38,0.4,5.08
2021-02-04 16:00:00-05:00,0.37,0.38,2.21
2020-11-05 16:00:00-05:00,0.33,0.36,8.83
2020-08-06 16:00:00-04:00,0.22,0.31,42.62
