timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,2.0,,
2026-04-29 06:00:00-04:00,1.33,1.8,35.49
2026-02-11 06:00:00-05:00,1.77,1.61,-9.02
2025-10-29 06:00:00-04:00,2.2,1.83,-16.72
2025-07-30 06:00:00-04:00,1.32,1.65,24.58
2025-04-30 06:00:00-04:00,0.97,1.26,30.39
2025-02-12 06:00:00-05:00,2.53,2.8,10.82
2024-10-31 06:00:00-04:00,1.95,2.25,15.48
2024-07-31 06:00:00-04:00,1.2,1.35,12.34
2024-05-01 06:00:00-04:00,0.71,0.88,23.96
2024-02-14 06:00:00-05:00,2.09,2.07,-0.92
2023-11-01 06:00:00-04:00,1.51,1.64,8.37
2023-08-02 06:00:00-04:00,1.18,1.08,-8.12
2023-05-03 06:00:00-04:00,0.5,0.63,25.79
2023-02-15 06:00:00-05:00,1.75,1.78,1.49
2022-11-02 06:00:00-04:00,1.82,1.75,-3.73
2022-08-03 06:00:00-04:00,2.64,2.99,13.37
2022-05-04 06:00:00-04:00,1.92,2.09,8.62
2022-02-16 06:00:00-05:00,2.4,2.51,4.71
2021-11-02 06:00:00-04:00,2.39,2.35,-1.56
2021-07-28 06:00:00-04:00,2.32,2.39,3.03
2021-04-29 06:00:00-04:00,1.88,2.38,26.54
2021-02-11 06:00:00-05:00,1.96,2.12,8.13
2020-10-28 06:00:00-04:00,1.71,2.08,21.61
2020-07-30 06:00:00-04:00,0.89,1.4,57.82
