timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,2.29,,
2026-04-29 07:00:00-04:00,1.84,2.08,13.14
2026-02-18 07:00:00-05:00,2.39,2.79,16.63
2025-10-29 07:00:00-04:00,1.99,1.99,
2025-07-30 07:00:00-04:00,1.9,2.17,14.38
2025-04-30 07:00:00-04:00,1.68,1.61,-3.99
2025-02-19 07:00:00-05:00,2.02,2.41,19.24
2024-10-30 07:00:00-04:00,1.45,1.99,37.68
2024-07-31 07:00:00-04:00,1.44,1.58,9.82
2024-05-01 07:00:00-04:00,1.01,1.42,40.28
2024-02-21 07:00:00-05:00,1.4,1.72,22.45
2023-11-01 07:00:00-04:00,1.28,1.41,9.89
2023-08-02 07:00:00-04:00,1.42,1.45,2.05
2023-05-03 07:00:00-04:00,1.03,1.02,-1.39
2023-02-22 07:00:00-05:00,1.17,1.35,15.63
2022-10-26 07:00:00-04:00,1.12,1.24,11.02
2022-07-27 07:00:00-04:00,1.43,1.44,1.05
2022-04-27 07:00:00-04:00,1.1,1.11,0.83
2022-02-16 07:00:00-05:00,1.42,1.55,8.93
2021-10-27 07:00:00-04:00,1.27,1.41,10.69
2021-07-28 07:00:00-04:00,1.25,1.68,34.22
2021-04-28 07:00:00-04:00,0.9,1.18,31.04
2021-02-17 07:00:00-05:00,1.39,1.73,24.12
2020-10-28 07:00:00-04:00,1.0,1.58,57.84
2020-07-29 07:00:00-04:00,0.41,0.91,122.19
