timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-14 08:00:00-04:00,14.12,,
2026-04-13 07:00:00-04:00,16.24,17.55,8.09
2026-01-15 07:00:00-05:00,11.76,14.01,19.09
2025-10-14 07:00:00-04:00,11.09,12.25,10.49
2025-07-16 07:00:00-04:00,9.62,10.91,13.39
2025-04-14 07:00:00-04:00,12.29,14.12,14.88
2025-01-15 07:00:00-05:00,8.29,10.97,32.26
2024-10-15 07:00:00-04:00,7.31,9.02,23.35
2024-07-15 07:00:00-04:00,8.4,8.41,0.14
2024-04-15 07:00:00-04:00,8.7,11.58,33.1
2024-01-16 07:00:00-05:00,4.27,5.48,28.33
2023-10-17 07:00:00-04:00,5.53,5.47,-1.02
2023-07-19 07:00:00-04:00,3.83,3.08,-19.55
2023-04-18 07:00:00-04:00,8.06,8.79,9.07
2023-01-17 07:00:00-05:00,5.77,3.32,-42.44
2022-10-18 07:00:00-04:00,7.52,8.25,9.73
2022-07-18 07:00:00-04:00,6.56,7.73,17.82
2022-04-14 07:00:00-04:00,8.98,10.76,19.88
2022-01-18 07:00:00-05:00,11.93,10.81,-9.37
2021-10-15 08:00:00-04:00,10.01,14.93,49.14
2021-07-13 07:00:00-04:00,10.18,15.02,47.52
2021-04-14 07:00:00-04:00,10.19,18.6,82.6
2021-01-19 07:00:00-05:00,7.36,12.55,70.43
2020-10-14 07:00:00-04:00,5.5,9.68,75.85
2020-07-15 07:00:00-04:00,3.91,6.26,60.16
