timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,0.36,,
2026-04-23 06:00:00-04:00,0.35,0.37,4.99
2026-01-22 06:00:00-05:00,0.38,0.37,-1.34
2025-10-17 07:00:00-04:00,0.37,0.4,7.07
2025-07-18 07:00:00-04:00,0.35,0.35,1.16
2025-04-17 07:00:00-04:00,0.31,0.34,8.48
2025-01-17 07:00:00-05:00,0.32,0.33,5.99
2024-10-17 07:00:00-04:00,0.3,0.33,10.36
2024-07-19 06:00:00-04:00,0.28,0.3,6.57
2024-04-19 06:00:00-04:00,0.24,0.26,8.02
2024-01-19 06:00:00-05:00,0.17,0.15,-9.89
2023-10-20 07:00:00-04:00,0.32,0.36,11.55
2023-07-21 07:00:00-04:00,0.34,0.35,4.21
2023-04-20 07:00:00-04:00,0.37,0.39,5.9
2023-01-20 07:00:00-05:00,0.41,0.42,3.56
2022-10-21 07:00:00-04:00,0.38,0.39,2.2
2022-07-21 07:00:00-04:00,0.34,0.36,4.85
2022-04-21 07:00:00-04:00,0.29,0.29,0.43
2022-01-21 07:00:00-05:00,0.35,0.36,1.98
2021-10-28 08:00:00-04:00,0.35,0.22,-37.62
2021-07-29 07:00:00-04:00,0.3,-0.05,-116.81
2021-04-22 07:00:00-04:00,0.31,0.48,55.11
2021-01-22 07:00:00-05:00,0.29,0.27,-8.07
2020-10-22 08:00:00-04:00,0.25,0.27,8.5
2020-07-23 07:00:00-04:00,0.07,0.13,75.3
