timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,1.81,,
2026-04-23 06:00:00-04:00,4.64,4.9,5.55
2026-01-29 06:00:00-05:00,5.07,5.18,2.14
2025-10-23 06:00:00-04:00,5.13,5.64,9.87
2025-07-24 06:00:00-04:00,5.32,5.5,3.43
2025-04-29 06:00:00-04:00,4.42,5.02,13.64
2025-02-06 06:00:00-05:00,4.69,4.94,5.28
2024-10-24 06:00:00-04:00,5.01,5.16,3.08
2024-07-25 06:00:00-04:00,4.83,4.98,3.1
2024-04-25 06:00:00-04:00,4.36,4.5,3.32
2024-02-01 06:00:00-05:00,5.18,5.2,0.33
2023-10-26 06:00:00-04:00,4.46,4.54,1.87
2023-07-27 06:00:00-04:00,4.43,4.46,0.79
2023-04-27 06:00:00-04:00,3.85,4.14,7.43
2023-02-02 06:00:00-05:00,5.02,5.04,0.45
2022-10-27 06:00:00-04:00,4.3,4.5,4.61
2022-07-28 06:00:00-04:00,4.05,4.2,3.6
2022-04-29 06:00:00-04:00,3.72,3.82,2.58
2022-02-03 06:00:00-05:00,4.16,4.18,0.52
2021-10-22 06:00:00-04:00,3.99,4.04,1.17
2021-07-23 06:00:00-04:00,3.89,4.04,3.86
2021-04-23 06:00:00-04:00,3.6,3.84,6.59
2021-01-29 06:00:00-05:00,4.0,4.14,3.5
2020-10-30 06:00:00-04:00,2.97,3.12,4.94
2020-07-24 06:00:00-04:00,2.48,2.52,1.66
