timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.41,,
2026-04-28 16:00:00-04:00,0.43,0.47,8.63
2026-02-10 16:00:00-05:00,0.68,0.73,6.26
2025-11-05 16:00:00-05:00,0.54,0.61,12.07
2025-07-30 16:00:00-04:00,0.31,0.42,35.99
2025-04-30 16:00:00-04:00,0.37,0.44,19.78
2025-02-12 16:00:00-05:00,0.52,1.04,99.1
2024-10-30 16:00:00-04:00,0.26,0.26,0.38
2024-08-07 16:00:00-04:00,0.26,0.3,15.99
2024-05-08 16:00:00-04:00,0.06,0.18,224.62
2024-02-13 16:00:00-05:00,0.07,0.13,72.19
2023-11-07 16:00:00-05:00,0.12,0.11,-6.17
2023-08-02 16:00:00-04:00,0.12,0.15,21.21
2023-05-10 16:00:00-04:00,0.08,0.1,21.25
2023-02-08 16:00:00-05:00,-0.08,-0.13,-50.44
2022-11-02 16:00:00-04:00,-0.31,-0.2,35.36
2022-08-02 16:00:00-04:00,-0.33,-0.31,6.24
2022-04-28 16:00:00-04:00,-0.35,-0.45,-26.82
2022-01-27 16:00:00-05:00,-0.44,-0.49,-10.2
2021-10-26 16:00:00-04:00,0.1,-0.07,-177.0
2021-08-18 16:00:00-04:00,-0.26,0.18,170.42
