timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-03 16:00:00-04:00,0.92,,
2026-06-01 16:00:00-04:00,0.53,0.79,48.03
2026-03-09 16:00:00-04:00,0.59,0.65,10.75
2025-12-04 16:00:00-05:00,0.58,0.62,6.55
2025-09-03 16:00:00-04:00,0.42,0.44,5.41
2025-06-03 16:00:00-04:00,0.33,0.38,16.33
2025-03-06 16:00:00-05:00,0.5,0.49,-1.75
2024-12-05 16:00:00-05:00,0.56,0.58,3.78
2024-09-04 16:00:00-04:00,0.47,0.5,6.64
2024-06-04 16:00:00-04:00,0.39,0.42,8.18
2024-02-29 16:00:00-05:00,0.45,0.48,6.99
2023-11-28 16:00:00-05:00,0.5,0.52,3.18
2023-08-29 16:00:00-04:00,0.47,0.49,5.37
2023-05-30 16:00:00-04:00,0.48,0.52,7.44
2023-03-02 16:00:00-05:00,0.53,0.63,17.76
2022-11-29 16:00:00-05:00,0.57,0.57,0.77
2022-08-30 16:00:00-04:00,0.48,0.48,0.11
2022-06-01 16:00:00-04:00,0.45,0.44,-2.83
2022-03-01 16:00:00-05:00,0.46,0.53,14.63
2021-11-30 16:00:00-05:00,0.49,0.52,6.66
2021-09-02 16:00:00-04:00,0.42,0.47,10.91
2021-06-01 16:00:00-04:00,0.42,0.46,9.42
2021-03-02 16:00:00-05:00,0.42,0.52,24.88
2020-12-01 16:00:00-05:00,0.34,0.37,8.95
2020-08-25 16:00:00-04:00,0.23,0.32,39.92
