timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-26 16:00:00-04:00,0.66,,
2026-05-27 16:00:00-04:00,0.72,0.86,20.26
2026-02-24 16:00:00-05:00,0.77,0.81,5.61
2025-11-25 16:00:00-05:00,0.92,0.93,0.76
2025-08-27 16:00:00-04:00,0.75,0.75,-0.04
2025-05-28 16:00:00-04:00,0.8,0.71,-11.63
2025-02-27 16:00:00-05:00,0.74,0.74,-0.49
2024-11-26 16:00:00-05:00,0.93,0.93,-0.19
2024-08-28 16:00:00-04:00,0.86,0.83,-3.9
2024-05-29 16:00:00-04:00,0.81,0.82,1.33
2024-02-28 16:00:00-05:00,0.81,0.81,-0.18
2023-11-21 16:00:00-05:00,0.9,0.9,0.01
2023-08-29 16:00:00-04:00,0.86,0.86,0.22
2023-05-30 16:00:00-04:00,0.76,0.8,5.41
2023-02-28 16:00:00-05:00,0.75,0.75,-0.05
2022-11-22 16:00:00-05:00,0.85,0.85,-0.08
2022-08-30 16:00:00-04:00,1.03,1.04,0.98
2022-05-31 16:00:00-04:00,1.05,1.08,2.77
2022-02-28 16:00:00-05:00,1.02,1.1,7.6
2021-11-23 16:00:00-05:00,0.88,0.94,6.56
2021-08-26 16:00:00-04:00,0.84,1.0,19.53
2021-05-27 16:00:00-04:00,0.89,0.93,4.55
2021-02-25 14:00:00-05:00,0.66,0.92,38.54
2020-11-24 16:00:00-05:00,0.52,0.62,18.61
2020-08-27 16:00:00-04:00,0.43,0.49,14.29
