timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-27 08:00:00-04:00,0.35,,
2026-05-28 06:00:00-04:00,0.35,0.4,12.87
2026-02-26 06:00:00-05:00,0.32,0.34,6.12
2025-12-04 06:00:00-05:00,0.3,0.32,5.99
2025-08-28 06:00:00-04:00,0.41,0.35,-14.55
2025-05-29 06:00:00-04:00,0.34,0.35,3.28
2025-02-27 06:00:00-05:00,0.37,0.35,-6.61
2024-12-04 06:00:00-05:00,0.42,0.42,-1.16
2024-09-04 06:00:00-04:00,0.36,0.37,1.44
2024-05-30 06:00:00-04:00,0.36,0.38,6.8
2024-02-29 06:00:00-05:00,0.34,0.41,20.43
2023-11-29 07:00:00-05:00,0.45,0.42,-6.68
2023-08-31 06:00:00-04:00,0.41,0.4,-2.75
2023-06-01 06:00:00-04:00,0.39,0.4,2.79
2023-03-02 06:00:00-05:00,0.45,0.4,-11.94
2022-11-30 06:00:00-05:00,0.5,0.51,2.15
2022-09-01 06:00:00-04:00,0.41,0.4,-2.7
2022-06-02 06:00:00-04:00,0.47,0.48,2.28
2022-03-01 06:00:00-05:00,0.44,0.44,0.23
2021-12-09 06:00:00-05:00,0.5,0.51,2.43
2021-09-02 06:00:00-04:00,0.39,0.39,-0.9
2021-05-20 06:00:00-04:00,0.41,0.42,2.72
2021-02-18 06:00:00-05:00,0.4,0.41,1.69
2020-11-24 06:00:00-05:00,0.45,0.43,-4.47
2020-08-25 06:00:00-04:00,0.36,0.37,3.23
