timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,1.24,,
2026-05-05 06:00:00-04:00,1.22,1.32,8.44
2026-02-24 06:00:00-05:00,1.29,1.34,3.48
2025-11-04 06:00:00-05:00,1.28,1.38,7.89
2025-08-05 06:00:00-04:00,1.19,1.1,-7.61
2025-05-05 06:00:00-04:00,1.11,1.15,3.59
2025-02-25 06:00:00-05:00,1.21,1.19,-1.56
2024-11-05 06:00:00-05:00,1.17,1.22,4.49
2024-08-06 06:00:00-04:00,1.22,1.23,1.01
2024-05-07 06:00:00-04:00,1.01,1.1,8.56
2024-02-27 06:00:00-05:00,0.7,0.66,-5.24
2023-11-13 06:00:00-05:00,1.32,1.32,0.19
2023-08-07 06:00:00-04:00,1.28,1.31,2.61
2023-05-09 06:00:00-04:00,1.23,1.21,-1.86
2023-02-16 06:00:00-05:00,1.22,1.35,10.68
2022-11-01 06:00:00-04:00,1.14,1.15,1.27
2022-08-02 06:00:00-04:00,1.16,1.16,-0.08
2022-05-03 06:00:00-04:00,1.19,1.3,9.36
2022-02-15 06:00:00-05:00,0.91,1.07,17.05
2021-11-02 06:00:00-04:00,0.96,1.1,14.79
2021-08-03 06:00:00-04:00,0.98,1.11,13.68
2021-05-04 06:00:00-04:00,0.84,1.24,47.3
2021-02-17 06:00:00-05:00,0.99,1.0,0.87
2020-11-02 07:00:00-05:00,0.8,1.03,28.87
2020-08-04 07:00:00-04:00,-0.12,,100.0
