timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,6.97,,
2026-04-29 06:00:00-04:00,10.2,10.31,1.05
2026-02-11 06:00:00-05:00,-3.99,-3.96,0.68
2025-11-05 06:00:00-05:00,2.83,3.24,14.64
2025-07-29 20:00:00-04:00,5.87,6.27,6.86
2025-04-30 06:00:00-04:00,10.07,11.58,14.97
2025-02-11 06:00:00-05:00,-2.12,-2.16,-1.93
2024-10-30 06:00:00-04:00,3.39,4.16,22.85
2024-07-31 06:00:00-04:00,5.86,6.96,18.78
2024-04-24 06:00:00-04:00,6.0,7.23,20.44
2024-01-25 06:00:00-05:00,0.92,-0.11,-111.98
2023-11-01 06:00:00-04:00,7.17,7.78,8.5
2023-08-02 06:00:00-04:00,8.83,8.94,1.22
2023-04-26 06:00:00-04:00,9.2,9.38,1.95
2023-02-01 06:00:00-05:00,1.46,1.62,10.67
2022-11-02 06:00:00-04:00,6.28,6.88,9.62
2022-07-27 06:00:00-04:00,7.67,8.67,12.98
2022-04-27 07:00:00-04:00,6.8,8.04,18.32
2022-02-02 06:00:00-05:00,1.16,1.24,6.97
2021-11-03 07:00:00-04:00,4.67,4.83,3.34
2021-07-28 06:00:00-04:00,6.84,6.89,0.69
2021-04-28 07:00:00-04:00,7.1,7.67,8.03
2021-02-03 06:00:00-05:00,-2.32,-2.3,0.77
2020-11-03 06:00:00-05:00,2.8,3.08,9.87
2020-08-05 06:00:00-04:00,10.12,12.56,24.11
