timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,1.24,,
2026-05-07 07:00:00-04:00,1.11,1.22,10.28
2026-02-12 07:00:00-05:00,0.97,1.05,8.7
2025-10-30 07:00:00-04:00,0.91,0.95,4.48
2025-07-31 07:00:00-04:00,0.87,0.91,4.22
2025-05-01 07:00:00-04:00,0.78,0.86,10.7
2025-02-13 07:00:00-05:00,0.72,0.74,2.81
2024-11-06 07:00:00-05:00,0.65,0.71,8.6
2024-07-30 07:00:00-04:00,0.6,0.67,11.56
2024-05-02 07:00:00-04:00,0.52,0.57,9.81
2024-02-13 07:00:00-05:00,0.46,0.53,14.25
2023-11-02 07:00:00-04:00,0.43,0.46,7.23
2023-08-01 07:00:00-04:00,0.43,0.44,1.59
2023-05-02 07:00:00-04:00,0.38,0.42,11.13
2023-02-14 07:00:00-05:00,0.38,0.38,0.57
2022-10-31 07:00:00-04:00,0.36,0.36,0.39
2022-08-04 07:00:00-04:00,0.33,0.35,6.73
2022-05-03 07:00:00-04:00,0.29,0.31,5.33
2022-02-02 07:00:00-05:00,0.29,0.3,4.13
2021-11-04 07:00:00-04:00,0.25,0.27,6.49
2021-08-04 07:00:00-04:00,0.22,0.22,1.18
2021-05-06 07:00:00-04:00,0.19,0.22,13.26
2021-02-03 07:00:00-05:00,0.17,0.21,23.53
2020-11-09 07:00:00-05:00,0.05,0.03,-39.19
2020-08-06 07:00:00-04:00,0.06,0.12,104.85
