timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-21 16:00:00-04:00,0.61,,
2026-04-21 16:00:00-04:00,0.6,0.6,0.1
2026-01-20 16:00:00-05:00,0.59,0.65,11.05
2025-10-16 16:00:00-04:00,0.54,0.57,6.05
2025-07-17 16:00:00-04:00,0.47,0.51,8.82
2025-04-15 16:00:00-04:00,0.48,0.47,-2.73
2025-01-21 16:00:00-05:00,0.46,0.51,9.37
2024-10-15 16:00:00-04:00,0.45,0.44,-3.77
2024-07-16 16:00:00-04:00,0.43,0.44,1.2
2024-04-16 16:00:00-04:00,0.41,0.41,0.53
2024-01-16 16:00:00-05:00,0.39,0.38,-1.72
2023-10-17 16:00:00-04:00,0.38,0.39,2.5
2023-07-18 16:00:00-04:00,0.35,0.33,-5.76
2023-04-18 16:00:00-04:00,0.35,0.34,-4.52
2023-01-17 16:00:00-05:00,0.29,0.33,11.18
2022-10-18 16:00:00-04:00,0.24,0.27,13.24
2022-07-19 16:00:00-04:00,0.23,0.21,-6.91
2022-04-19 16:00:00-04:00,0.21,0.21,-0.56
2022-01-18 16:00:00-05:00,0.2,0.21,1.63
2021-10-19 16:00:00-04:00,0.19,0.2,2.36
2021-07-20 16:00:00-04:00,0.21,0.21,-1.68
2021-04-20 16:00:00-04:00,0.23,0.25,8.49
2021-01-19 16:00:00-05:00,0.15,0.17,17.35
2020-10-20 16:00:00-04:00,0.14,0.13,-3.34
2020-07-20 21:00:00-04:00,0.08,0.14,81.04
