timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 16:00:00-04:00,3.02,,
2026-04-22 16:00:00-04:00,1.81,1.91,5.45
2026-01-28 16:00:00-05:00,4.29,4.52,5.3
2025-10-22 16:00:00-04:00,2.45,2.65,8.31
2025-07-23 16:00:00-04:00,2.65,2.8,5.47
2025-04-23 16:00:00-04:00,1.43,1.6,12.12
2025-01-29 16:00:00-05:00,3.78,3.92,3.81
2024-10-23 16:00:00-04:00,2.23,2.3,3.33
2024-07-24 16:00:00-04:00,2.17,2.43,11.92
2024-04-24 16:00:00-04:00,1.6,1.68,5.2
2024-01-24 16:00:00-05:00,3.8,3.87,1.86
2023-10-25 16:00:00-04:00,2.13,2.2,3.5
2023-07-19 16:00:00-04:00,2.0,2.18,8.93
2023-04-19 16:00:00-04:00,1.24,1.36,9.73
2023-01-25 16:00:00-05:00,3.61,3.6,-0.32
2022-10-19 16:00:00-04:00,1.8,1.81,0.7
2022-07-18 16:00:00-04:00,2.29,2.31,0.9
2022-04-19 16:00:00-04:00,1.42,1.4,-1.46
2022-01-24 16:00:00-05:00,3.29,3.35,1.91
2021-10-20 16:00:00-04:00,2.51,2.52,0.21
2021-07-19 16:00:00-04:00,2.29,2.33,1.82
2021-04-19 16:00:00-04:00,1.65,1.77,7.12
2021-01-21 16:00:00-05:00,1.88,2.07,10.38
2020-10-19 16:00:00-04:00,2.58,2.58,0.04
2020-07-20 16:00:00-04:00,2.09,2.18,4.55
