timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,2.11,,
2026-04-29 07:00:00-04:00,1.77,2.0,12.8
2026-02-04 07:00:00-05:00,2.04,2.1,2.89
2025-10-29 07:00:00-04:00,1.93,2.03,5.17
2025-07-30 07:00:00-04:00,1.99,2.07,4.02
2025-05-01 07:00:00-04:00,1.64,1.75,6.65
2025-02-04 16:00:00-05:00,2.03,2.04,0.53
2024-10-29 16:00:00-04:00,1.88,1.9,0.82
2024-07-31 16:00:00-04:00,2.04,2.06,0.85
2024-04-23 16:00:00-04:00,1.76,1.88,7.0
2024-02-07 09:00:00-05:00,1.78,1.83,3.02
2023-10-25 16:00:00-04:00,1.88,2.12,12.47
2023-07-26 16:00:00-04:00,2.12,2.18,2.68
2023-04-26 16:00:00-04:00,2.02,2.09,3.5
2023-01-31 16:00:00-05:00,1.97,2.01,1.99
2022-10-25 16:00:00-04:00,2.0,2.14,6.83
2022-07-26 16:00:00-04:00,1.89,2.02,6.66
2022-04-26 16:00:00-04:00,1.74,1.96,12.38
2022-02-01 16:00:00-05:00,1.59,1.55,-2.8
2021-10-26 16:00:00-04:00,1.59,1.63,2.42
2021-07-27 16:00:00-04:00,1.62,1.61,-0.33
2021-04-27 16:00:00-04:00,1.41,1.51,6.82
2021-02-03 16:00:00-05:00,1.31,1.37,4.59
2020-10-27 16:00:00-04:00,1.19,1.4,17.17
2020-07-23 16:00:00-04:00,0.97,1.1,13.01
