timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,1.91,,
2026-04-28 07:00:00-04:00,1.34,1.81,35.12
2026-02-10 07:00:00-05:00,1.92,1.8,-6.08
2025-10-28 07:00:00-04:00,1.64,2.26,38.04
2025-07-29 07:00:00-04:00,1.47,1.57,6.59
2025-04-29 07:00:00-04:00,1.03,1.16,12.32
2025-02-10 07:00:00-05:00,1.55,1.43,-8.01
2024-10-29 07:00:00-04:00,1.09,1.07,-2.03
2024-07-30 07:00:00-04:00,1.11,-1.82,-264.53
2024-04-30 07:00:00-04:00,0.83,0.64,-23.09
2024-02-13 07:00:00-05:00,1.15,1.06,-7.71
2023-10-31 07:00:00-04:00,1.07,1.1,3.1
2023-08-01 07:00:00-04:00,0.87,0.99,14.45
2023-05-02 07:00:00-04:00,0.74,0.37,-50.02
2023-02-07 07:00:00-05:00,0.57,0.62,8.14
2022-11-01 07:00:00-04:00,0.71,0.6,-14.93
2022-08-02 07:00:00-04:00,0.75,1.01,35.5
2022-05-03 07:00:00-04:00,0.69,0.55,-20.06
2022-02-08 07:00:00-05:00,0.87,0.1,-88.45
2021-11-02 07:00:00-04:00,0.76,1.18,55.26
2021-08-03 07:00:00-04:00,0.74,0.8,8.11
2021-05-04 07:00:00-04:00,0.64,0.67,4.24
2021-02-09 07:00:00-05:00,0.77,0.93,21.35
2020-11-05 07:00:00-05:00,0.76,0.23,-69.61
2020-08-04 07:00:00-04:00,0.86,1.24,43.67
