timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-21 08:00:00-04:00,3.03,,
2026-05-05 07:00:00-04:00,2.82,2.9,2.96
2026-02-05 07:00:00-05:00,3.4,3.42,0.69
2025-10-28 07:00:00-04:00,2.98,3.0,0.81
2025-07-22 07:00:00-04:00,2.77,2.81,1.43
2025-05-06 07:00:00-04:00,2.63,2.7,2.57
2025-02-06 07:00:00-05:00,3.11,3.12,0.36
2024-10-31 07:00:00-04:00,2.81,2.84,1.04
2024-07-22 07:00:00-04:00,2.56,2.64,3.02
2024-05-02 07:00:00-04:00,2.48,2.54,2.38
2024-02-14 07:00:00-05:00,2.82,2.84,0.65
2023-11-01 16:00:00-04:00,2.45,2.49,1.75
2023-08-01 07:00:00-04:00,2.37,2.43,2.5
2023-04-27 07:00:00-04:00,2.41,2.45,1.72
2023-02-10 07:00:00-05:00,2.76,2.78,0.64
2022-10-26 07:00:00-04:00,2.38,2.48,4.0
2022-07-21 07:00:00-04:00,2.38,2.44,2.42
2022-04-27 07:00:00-04:00,2.42,2.47,2.24
2022-02-15 07:00:00-05:00,2.43,2.55,4.8
2021-10-21 07:00:00-04:00,2.12,2.17,2.18
2021-07-27 07:00:00-04:00,2.08,2.13,2.52
2021-04-22 07:00:00-04:00,1.86,2.18,17.49
2021-02-10 07:00:00-05:00,2.01,2.11,5.19
2020-10-20 07:00:00-04:00,1.54,1.63,5.91
2020-07-22 07:00:00-04:00,1.06,1.18,11.69
