timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,0.56,,
2026-04-30 06:00:00-04:00,0.52,0.6,15.76
2026-02-12 06:00:00-05:00,0.59,0.61,3.81
2025-11-05 06:00:00-05:00,0.53,0.54,2.44
2025-08-06 06:00:00-04:00,0.5,0.48,-4.22
2025-05-01 06:00:00-04:00,0.4,0.43,6.99
2025-02-13 06:00:00-05:00,0.53,0.5,-6.23
2024-11-06 06:00:00-05:00,0.48,0.44,-8.96
2024-08-01 06:00:00-04:00,0.44,0.42,-3.63
2024-05-02 06:00:00-04:00,0.43,0.43,0.27
2024-02-22 06:00:00-05:00,0.45,0.52,14.44
2023-11-02 06:00:00-04:00,0.44,0.45,1.42
2023-08-03 06:00:00-04:00,0.41,0.4,-1.47
2023-05-04 06:00:00-04:00,0.35,0.42,19.25
2023-02-23 06:00:00-05:00,0.44,0.43,-1.22
2022-11-03 06:00:00-04:00,0.44,0.48,8.42
2022-08-04 06:00:00-04:00,0.4,0.46,15.53
2022-04-28 06:00:00-04:00,0.37,0.38,1.54
2022-02-24 06:00:00-05:00,0.4,0.43,7.74
2021-11-04 06:00:00-04:00,0.4,0.4,0.88
2021-08-05 06:00:00-04:00,0.35,0.38,8.07
2021-05-06 06:00:00-04:00,0.25,0.32,27.68
2021-02-24 06:00:00-05:00,0.31,0.29,-7.65
2020-11-05 06:00:00-05:00,0.25,0.31,23.66
2020-08-06 06:00:00-04:00,0.15,0.22,47.24
