timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-16 16:00:00-04:00,2.5,,
2026-04-21 16:00:00-04:00,2.11,2.5,18.67
2026-01-22 16:00:00-05:00,2.27,2.53,11.57
2025-10-21 16:00:00-04:00,1.99,2.4,20.7
2025-07-22 16:00:00-04:00,1.92,2.19,14.08
2025-04-22 16:00:00-04:00,1.73,1.81,4.41
2025-01-23 16:00:00-05:00,1.79,2.21,23.73
2024-10-17 16:00:00-04:00,1.64,1.84,12.25
2024-07-18 16:00:00-04:00,1.54,1.78,15.51
2024-04-18 16:00:00-04:00,1.42,1.5,5.98
2024-01-23 16:00:00-05:00,1.49,1.6,7.72
2023-10-19 16:00:00-04:00,1.42,1.46,3.17
2023-07-20 16:00:00-04:00,1.33,1.42,6.88
2023-04-18 16:00:00-04:00,1.2,1.23,2.83
2023-01-24 16:00:00-05:00,1.25,1.23,-1.89
2022-10-18 16:00:00-04:00,1.12,1.19,6.39
2022-07-21 16:00:00-04:00,1.2,1.14,-4.84
2022-04-21 16:00:00-04:00,1.08,1.13,5.1
2022-01-20 16:00:00-05:00,1.28,1.3,1.56
2021-10-19 14:00:00-04:00,1.16,1.19,2.72
2021-07-20 16:00:00-04:00,1.02,1.31,28.14
2021-04-20 16:00:00-04:00,0.88,1.17,33.69
2021-01-21 16:00:00-05:00,1.04,1.19,15.27
2020-10-15 16:00:00-04:00,0.68,0.92,35.1
2020-07-21 16:00:00-04:00,0.16,0.37,125.47
