timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,3.75,,
2026-05-05 06:00:00-04:00,2.92,3.32,13.64
2026-02-03 06:00:00-05:00,3.51,3.94,12.21
2025-11-04 06:00:00-05:00,2.43,2.76,13.73
2025-08-05 06:00:00-04:00,3.31,3.53,6.8
2025-05-06 06:00:00-04:00,2.72,2.98,9.71
2025-02-04 06:00:00-05:00,3.26,5.45,67.22
2024-11-05 06:00:00-05:00,2.37,2.5,5.61
2024-07-30 06:00:00-04:00,3.03,3.22,6.44
2024-04-30 06:00:00-04:00,2.54,2.93,15.28
2024-02-06 06:00:00-05:00,2.83,3.04,7.51
2023-11-03 06:00:00-04:00,1.96,2.56,30.68
2023-08-01 06:00:00-04:00,2.5,2.85,13.89
2023-05-02 06:00:00-04:00,2.06,2.88,39.6
2023-02-07 06:00:00-05:00,2.58,3.7,43.46
2022-11-01 06:00:00-04:00,1.87,2.41,28.78
2022-08-02 06:00:00-04:00,2.14,2.85,32.97
2022-05-03 06:00:00-04:00,1.72,2.33,35.62
2022-02-08 06:00:00-05:00,2.42,2.99,23.74
2021-11-02 06:00:00-04:00,1.55,2.03,30.59
2021-08-03 06:00:00-04:00,1.73,2.24,29.56
2021-05-04 06:00:00-04:00,1.05,2.0,89.67
2021-02-09 06:00:00-05:00,0.82,1.59,94.69
2020-11-03 06:00:00-05:00,0.53,0.91,73.15
2020-08-04 06:00:00-04:00,0.81,1.2,48.76
