timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,0.62,,
2026-04-28 06:00:00-04:00,0.58,0.57,-1.21
2026-01-27 06:00:00-05:00,0.58,0.62,7.1
2025-10-28 06:00:00-04:00,0.44,0.61,37.73
2025-07-22 06:00:00-04:00,0.4,0.36,-10.7
2025-04-22 06:00:00-04:00,0.39,0.44,13.91
2025-01-28 06:00:00-05:00,0.47,0.52,9.63
2024-10-22 06:00:00-04:00,0.43,0.44,1.76
2024-07-23 06:00:00-04:00,0.4,0.43,8.09
2024-04-23 06:00:00-04:00,0.4,0.33,-17.45
2024-01-23 07:00:00-05:00,0.4,0.47,18.69
2023-10-24 06:00:00-04:00,0.35,0.35,-1.07
2023-07-25 06:00:00-04:00,0.4,0.31,-21.61
2023-04-25 06:00:00-04:00,0.36,0.38,4.88
2023-01-24 06:00:00-05:00,0.36,0.39,7.27
2022-10-25 06:00:00-04:00,0.41,0.34,-17.31
2022-07-27 06:00:00-04:00,0.5,0.39,-22.26
2022-04-26 06:00:00-04:00,0.62,0.56,-10.04
2022-01-25 06:00:00-05:00,0.76,0.86,12.95
2021-10-26 06:00:00-04:00,0.73,0.77,5.5
2021-07-27 06:00:00-04:00,0.7,0.78,11.09
2021-04-27 06:00:00-04:00,0.62,0.68,9.77
2021-01-26 06:00:00-05:00,0.57,0.72,25.73
2020-10-27 06:00:00-04:00,0.48,0.53,11.14
2020-07-28 06:00:00-04:00,0.43,0.35,-19.46
