timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-15 16:00:00-04:00,1.71,,
2026-04-15 16:00:00-04:00,1.45,1.49,3.09
2026-04-15 16:00:00-04:00,1.45,,
2026-01-15 16:00:00-05:00,1.81,1.9,4.77
2025-10-15 16:00:00-04:00,1.46,1.76,20.66
2025-07-15 16:00:00-04:00,1.3,1.31,0.52
2025-04-15 16:00:00-04:00,1.14,1.17,2.19
2025-01-16 16:00:00-05:00,1.62,1.53,-5.83
2024-10-15 16:00:00-04:00,1.39,1.49,7.21
2024-07-16 16:00:00-04:00,1.48,1.32,-10.78
2024-04-16 16:00:00-04:00,1.51,1.22,-19.3
2024-01-18 16:00:00-05:00,1.74,1.47,-15.54
2023-10-17 16:00:00-04:00,1.83,1.8,-1.72
2023-07-18 16:00:00-04:00,1.9,1.81,-4.89
2023-04-17 16:00:00-04:00,2.01,1.89,-6.16
2023-01-18 07:00:00-05:00,2.44,1.92,-21.4
2022-10-18 16:00:00-04:00,2.46,2.57,4.62
2022-07-19 16:00:00-04:00,2.35,2.42,2.81
2022-04-18 16:00:00-04:00,1.94,2.29,18.32
2022-01-18 16:00:00-05:00,2.02,2.28,13.07
2021-10-15 07:00:00-04:00,1.78,1.88,5.7
2021-07-19 16:00:00-04:00,1.57,1.61,2.38
2021-04-15 16:00:00-04:00,1.17,1.37,17.45
2021-01-19 16:00:00-05:00,1.31,1.44,10.22
2020-10-16 07:00:00-04:00,1.29,1.18,-8.5
