timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-24 08:00:00-04:00,4.07,,
2026-06-17 07:00:00-04:00,3.12,3.16,1.35
2026-03-18 07:00:00-04:00,2.51,2.69,7.22
2025-12-17 07:00:00-05:00,2.73,2.85,4.36
2025-09-25 07:00:00-04:00,2.95,3.29,11.69
2025-06-17 07:00:00-04:00,2.32,2.55,9.78
2025-03-20 07:00:00-04:00,1.83,1.94,6.17
2024-12-18 07:00:00-05:00,1.88,2.0,6.53
2024-09-26 07:00:00-04:00,2.22,2.3,3.63
2024-06-20 07:00:00-04:00,1.85,1.89,2.06
2024-03-15 07:00:00-04:00,1.68,1.68,-0.12
2023-12-14 07:00:00-05:00,2.58,2.6,0.75
2023-09-28 07:00:00-04:00,2.32,2.45,5.68
2023-06-15 07:00:00-04:00,1.87,1.99,6.57
2023-03-16 07:00:00-04:00,1.85,1.88,1.75
2022-12-15 08:00:00-05:00,2.24,2.31,3.32
2022-09-27 08:00:00-04:00,2.14,2.34,9.18
2022-06-16 07:00:00-04:00,1.62,1.72,6.24
2022-03-16 07:00:00-04:00,1.47,1.68,14.04
2021-12-16 07:00:00-05:00,1.8,1.92,6.75
2021-09-29 07:00:00-04:00,1.38,1.44,3.98
2021-06-17 07:00:00-04:00,1.04,1.3,24.89
2021-03-16 08:00:00-04:00,0.95,1.27,33.94
2020-12-17 08:00:00-05:00,1.26,1.6,26.49
2020-09-24 08:00:00-04:00,0.67,0.98,45.7
