timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-18 16:00:00-04:00,1.44,,
2026-05-05 16:00:00-04:00,1.42,1.56,10.37
2026-02-03 16:00:00-05:00,1.42,1.66,17.07
2025-11-04 16:00:00-05:00,1.65,1.86,12.81
2025-08-19 16:00:00-04:00,1.5,1.56,4.08
2025-05-06 16:00:00-04:00,1.33,1.45,8.66
2025-02-04 16:00:00-05:00,1.32,1.35,2.09
2024-11-05 16:00:00-05:00,1.6,1.59,-0.17
2024-08-20 16:00:00-04:00,1.3,1.33,1.56
2024-05-07 16:00:00-04:00,1.16,1.19,2.93
2024-02-06 16:00:00-05:00,1.13,1.22,7.81
2023-11-07 16:00:00-05:00,1.33,1.53,14.61
2023-08-15 16:00:00-04:00,1.18,1.34,13.16
2023-05-02 16:00:00-04:00,1.1,1.12,1.86
2023-02-07 16:00:00-05:00,1.11,1.1,-0.63
2022-11-08 16:00:00-05:00,1.4,1.46,4.61
2022-08-16 16:00:00-04:00,1.0,1.1,9.56
2022-05-03 16:00:00-04:00,1.06,1.16,9.44
2022-02-08 16:00:00-05:00,1.12,1.3,15.7
2021-11-08 16:00:00-05:00,1.32,1.38,4.89
2021-08-17 16:00:00-04:00,0.92,1.04,12.55
2021-05-03 17:00:00-04:00,0.85,0.95,11.22
2021-02-08 16:00:00-05:00,0.87,0.94,8.33
2020-11-04 16:00:00-05:00,1.05,1.19,12.89
2020-08-18 16:00:00-04:00,0.78,0.8,1.97
