timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,0.54,,
2026-04-23 07:00:00-04:00,0.37,0.39,4.25
2026-02-24 07:00:00-05:00,0.59,0.6,2.01
2025-10-27 06:00:00-04:00,0.54,0.54,0.44
2025-07-24 07:00:00-04:00,0.49,0.49,0.96
2025-04-24 06:00:00-04:00,0.38,0.42,9.85
2025-02-25 07:00:00-05:00,0.57,0.58,1.54
2024-10-24 07:00:00-04:00,0.51,0.51,0.79
2024-07-25 07:00:00-04:00,0.45,0.45,0.27
2024-04-25 07:00:00-04:00,0.35,0.38,9.96
2024-02-22 07:00:00-05:00,0.54,0.55,1.49
2023-10-26 07:00:00-04:00,0.47,0.48,2.61
2023-07-27 07:00:00-04:00,0.4,0.42,4.88
2023-04-27 07:00:00-04:00,0.33,0.34,2.07
2023-02-23 06:00:00-05:00,0.51,0.5,-1.04
2022-10-27 06:00:00-04:00,0.46,0.46,-0.12
2022-07-28 06:00:00-04:00,0.39,0.39,0.01
2022-04-28 07:00:00-04:00,0.33,0.33,0.31
2022-02-24 06:00:00-05:00,0.45,0.45,0.05
2021-10-28 07:00:00-04:00,0.44,0.44,-0.43
2021-07-29 07:00:00-04:00,0.37,0.38,2.66
2021-04-29 06:00:00-04:00,0.32,0.33,4.21
2021-02-25 06:00:00-05:00,0.4,0.39,-1.51
2020-10-29 06:00:00-04:00,0.37,0.39,4.93
2020-07-30 06:00:00-04:00,0.32,0.33,4.62
