timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-21 08:00:00-04:00,0.42,,
2026-04-16 06:00:00-04:00,0.41,0.44,8.02
2026-01-20 06:00:00-05:00,0.39,0.41,6.28
2025-10-16 06:00:00-04:00,0.38,0.41,7.6
2025-07-22 06:00:00-04:00,0.34,0.35,1.9
2025-04-17 06:00:00-04:00,0.32,0.33,4.05
2025-01-21 06:00:00-05:00,0.33,0.38,16.71
2024-10-17 06:00:00-04:00,0.22,-0.47,-309.38
2024-07-18 06:00:00-04:00,0.24,0.25,3.49
2024-04-18 06:00:00-04:00,0.23,0.2,-11.55
2024-01-18 06:00:00-05:00,0.23,0.03,-86.95
2023-10-19 06:00:00-04:00,0.27,0.29,7.5
2023-07-20 06:00:00-04:00,0.32,0.27,-14.99
2023-04-20 06:00:00-04:00,0.43,0.3,-30.35
2023-01-19 06:00:00-05:00,0.55,0.38,-30.5
2022-10-20 06:00:00-04:00,0.59,0.55,-6.05
2022-07-21 06:00:00-04:00,0.52,0.54,4.65
2022-04-21 06:00:00-04:00,0.49,0.45,-7.61
2022-01-20 06:00:00-05:00,0.57,0.64,13.19
2021-10-21 06:00:00-04:00,0.57,0.65,14.98
2021-07-20 06:00:00-04:00,0.54,0.72,33.06
2021-04-20 06:00:00-04:00,0.48,0.61,27.52
2021-01-21 06:00:00-05:00,0.43,0.56,30.73
2020-10-21 06:00:00-04:00,0.36,0.41,14.16
2020-07-22 06:00:00-04:00,0.13,0.16,25.64
