timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-18 16:00:00-04:00,2.48,,
2026-05-19 16:00:00-04:00,2.32,2.87,23.69
2026-02-23 16:00:00-05:00,2.0,2.17,8.75
2025-11-24 16:00:00-05:00,1.85,1.91,3.01
2025-08-19 16:00:00-04:00,1.67,1.72,2.89
2025-05-20 16:00:00-04:00,1.65,1.7,3.26
2025-02-25 16:00:00-05:00,1.69,1.82,7.62
2024-11-19 16:00:00-05:00,1.57,1.65,5.01
2024-08-20 16:00:00-04:00,1.35,1.57,16.56
2024-05-20 16:00:00-04:00,1.39,1.41,1.58
2024-02-20 16:00:00-05:00,1.59,1.63,2.67
2023-11-20 16:00:00-05:00,1.87,1.99,6.38
2023-08-17 16:00:00-04:00,2.04,2.19,7.26
2023-05-16 16:00:00-04:00,1.95,2.12,8.84
2023-02-21 16:00:00-05:00,1.85,2.02,8.95
2022-11-17 16:00:00-05:00,1.99,2.14,7.5
2022-08-17 16:00:00-04:00,1.79,2.01,12.44
2022-05-17 16:00:00-04:00,1.68,1.83,9.15
2022-02-17 16:00:00-05:00,1.55,1.65,6.13
2021-11-22 16:00:00-05:00,1.64,1.82,10.71
2021-08-18 16:00:00-04:00,1.44,1.54,6.79
2021-05-19 16:00:00-04:00,1.34,1.44,7.53
2021-02-18 16:00:00-05:00,1.37,1.43,4.43
2020-11-18 16:00:00-05:00,1.46,1.62,10.95
2020-08-20 16:00:00-04:00,0.84,1.19,41.74
