timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,1.0,,
2026-04-29 16:00:00-04:00,0.92,0.94,2.5
2026-01-29 16:00:00-05:00,0.88,0.89,0.59
2025-10-29 16:00:00-04:00,0.86,0.88,2.24
2025-07-31 16:00:00-04:00,0.86,0.94,9.67
2025-04-30 16:00:00-04:00,0.81,0.84,4.03
2025-01-30 16:00:00-05:00,0.78,0.82,5.73
2024-10-30 16:00:00-04:00,0.7,0.73,4.03
2024-07-24 16:00:00-04:00,0.61,0.66,8.11
2024-04-25 16:00:00-04:00,0.51,0.53,4.01
2024-01-25 16:00:00-05:00,0.59,0.62,4.74
2023-10-25 16:00:00-04:00,0.54,0.57,6.87
2023-07-27 16:00:00-04:00,0.49,0.54,11.17
2023-04-26 16:00:00-04:00,0.53,0.55,3.84
2023-01-26 16:00:00-05:00,0.71,0.74,4.05
2022-10-26 16:00:00-04:00,0.62,0.71,13.37
2022-07-28 16:00:00-04:00,0.55,0.58,5.84
2022-04-28 16:00:00-04:00,0.48,0.51,6.33
2022-01-27 16:00:00-05:00,0.55,0.56,2.53
2021-10-27 16:00:00-04:00,0.45,0.46,2.69
2021-07-29 16:00:00-04:00,0.4,0.44,10.7
2021-04-29 16:00:00-04:00,0.36,0.39,6.43
2021-02-03 23:00:00-05:00,0.32,0.32,0.71
2020-10-28 16:00:00-04:00,0.28,0.3,8.68
2020-08-03 16:00:00-04:00,0.24,0.27,12.87
