timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,2.01,,
2026-04-28 06:00:00-04:00,1.93,1.97,2.24
2026-01-27 06:00:00-05:00,1.81,1.86,2.66
2025-10-30 06:00:00-04:00,1.75,1.82,3.93
2025-08-01 06:00:00-04:00,1.66,1.92,15.97
2025-04-22 07:00:00-04:00,1.89,1.93,2.04
2025-01-28 06:00:00-05:00,1.51,1.5,-0.94
2024-10-22 06:00:00-04:00,1.71,1.83,7.22
2024-07-23 06:00:00-04:00,1.71,1.96,14.61
2024-04-23 07:00:00-04:00,1.64,2.01,22.46
2024-01-24 07:00:00-05:00,1.54,1.51,-2.13
2023-10-24 07:00:00-04:00,1.59,1.74,9.1
2023-07-25 07:00:00-04:00,1.48,1.65,11.53
2023-04-25 08:00:00-04:00,1.32,1.67,26.81
2023-01-25 07:00:00-05:00,1.51,1.54,1.95
2022-10-25 07:00:00-04:00,1.45,1.4,-3.4
2022-07-26 07:00:00-04:00,1.32,1.34,1.73
2022-04-22 07:00:00-04:00,1.23,1.35,9.57
2022-01-26 07:00:00-05:00,1.25,1.3,4.4
2021-10-25 07:00:00-04:00,1.65,1.62,-1.96
2021-07-23 07:00:00-04:00,1.71,1.47,-13.84
2021-04-23 07:00:00-04:00,1.92,1.8,-6.49
2021-01-25 07:00:00-05:00,1.62,1.69,4.27
2020-10-22 07:00:00-04:00,1.73,1.72,-0.85
2020-07-23 07:00:00-04:00,1.77,2.2,24.13
