timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-15 16:00:00-04:00,0.31,,
2026-04-22 16:00:00-04:00,0.39,0.48,22.1
2026-01-21 16:00:00-05:00,0.37,0.39,6.82
2025-10-22 16:00:00-04:00,0.3,0.29,-2.84
2025-07-16 16:00:00-04:00,0.28,0.28,0.81
2025-04-16 16:00:00-04:00,0.36,0.34,-4.83
2025-01-22 16:00:00-05:00,0.33,0.32,-2.69
2024-10-16 16:00:00-04:00,0.26,0.25,-5.33
2024-07-17 16:00:00-04:00,0.25,0.25,-0.86
2024-04-17 16:00:00-04:00,0.34,0.34,0.77
2024-01-17 16:00:00-05:00,0.29,0.28,-4.72
2023-10-18 16:00:00-04:00,0.25,0.25,-1.96
2023-07-19 16:00:00-04:00,0.24,0.24,0.69
2023-04-19 16:00:00-04:00,0.29,0.3,3.58
2023-01-18 16:00:00-05:00,0.3,0.31,2.88
2022-10-19 16:00:00-04:00,0.28,0.25,-12.24
2022-07-20 16:00:00-04:00,0.27,0.27,0.33
2022-04-20 16:00:00-04:00,0.28,0.32,12.57
2022-01-19 16:00:00-05:00,0.26,0.27,3.69
2021-10-20 16:00:00-04:00,0.24,0.22,-9.71
2021-07-21 16:00:00-04:00,0.2,0.23,17.76
2021-04-21 16:00:00-04:00,0.25,0.6,143.09
2021-01-20 16:00:00-05:00,0.24,0.27,11.51
2020-10-21 16:00:00-04:00,0.2,0.21,5.85
2020-07-22 16:00:00-04:00,0.16,0.17,7.67
