timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-03 08:00:00-04:00,,,
2020-02-10 06:00:00-05:00,0.73,1.11,52.52
2019-10-28 09:00:00-04:00,0.68,0.22,-67.52
2019-08-05 06:00:00-04:00,0.75,0.91,22.39
2019-04-29 06:00:00-04:00,0.96,1.15,20.23
2019-02-11 06:00:00-05:00,0.33,-0.35,-206.62
2018-11-05 06:00:00-05:00,1.01,0.84,-16.18
2018-07-30 06:00:00-04:00,0.73,0.76,3.83
2018-04-30 06:00:00-04:00,0.78,0.89,13.78
2018-02-12 06:00:00-05:00,0.71,0.79,11.75
2017-10-30 06:00:00-04:00,0.19,0.54,183.16
2017-07-31 06:00:00-04:00,0.71,0.72,0.9
2017-05-01 06:00:00-04:00,0.66,0.85,28.66
2017-02-06 06:00:00-05:00,0.63,0.73,15.05
2016-10-31 06:00:00-04:00,0.72,0.89,23.86
2016-08-01 06:00:00-04:00,0.57,0.58,1.92
2016-05-02 06:00:00-04:00,0.52,0.57,9.08
2016-02-08 06:00:00-05:00,0.61,0.25,-58.57
2015-11-02 06:00:00-05:00,0.56,0.51,-9.13
2015-08-03 06:00:00-04:00,0.58,0.46,-21.21
2015-05-04 06:00:00-04:00,0.71,0.72,1.48
2015-02-09 06:00:00-05:00,0.53,0.41,-22.34
2014-11-03 06:00:00-05:00,0.68,0.7,2.86
2014-08-04 06:00:00-04:00,0.67,0.79,17.41
2014-04-28 06:00:00-04:00,0.7,0.62,-11.79
