timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,2.89,,
2026-05-05 06:00:00-04:00,2.91,3.13,7.56
2026-02-17 06:00:00-05:00,2.61,2.76,5.91
2025-11-04 06:00:00-05:00,2.72,3.05,12.3
2025-08-05 06:00:00-04:00,2.66,3.21,20.83
2025-05-06 06:00:00-04:00,2.5,2.97,18.73
2025-02-11 06:00:00-05:00,2.27,2.37,4.45
2024-10-29 06:00:00-04:00,2.02,2.93,45.29
2024-07-30 06:00:00-04:00,2.27,2.63,15.85
2024-04-30 06:00:00-04:00,1.7,2.29,34.97
2024-02-13 06:00:00-05:00,1.75,1.99,13.96
2023-10-31 06:00:00-04:00,1.67,2.03,21.82
2023-08-01 06:00:00-04:00,1.57,1.8,14.57
2023-05-02 06:00:00-04:00,1.59,1.47,-7.29
2023-02-14 06:00:00-05:00,1.61,1.83,13.42
2022-11-01 06:00:00-04:00,1.57,1.59,1.42
2022-08-02 06:00:00-04:00,1.56,1.59,1.99
2022-05-03 06:00:00-04:00,1.5,1.58,5.12
2022-02-15 06:00:00-05:00,1.6,1.56,-2.33
2021-11-02 06:00:00-04:00,1.62,1.8,11.17
2021-08-03 06:00:00-04:00,1.58,1.52,-3.89
2021-05-04 06:00:00-04:00,1.47,1.73,17.83
2021-02-23 06:00:00-05:00,1.61,1.63,0.95
2020-11-02 06:00:00-05:00,1.24,1.47,18.72
2020-08-04 06:00:00-04:00,1.09,1.55,42.03
