timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,4.77,,
2026-04-30 06:00:00-04:00,4.12,4.25,3.26
2026-02-17 06:00:00-05:00,3.94,4.07,3.25
2025-10-28 06:00:00-04:00,4.14,4.18,1.01
2025-07-24 06:00:00-04:00,4.16,4.35,4.47
2025-04-29 06:00:00-04:00,3.73,3.84,2.82
2025-02-06 06:00:00-05:00,3.39,3.45,1.71
2024-10-24 06:00:00-04:00,3.49,3.5,0.23
2024-08-01 06:00:00-04:00,3.77,3.94,4.49
2024-04-25 06:00:00-04:00,3.48,3.68,5.65
2024-02-15 06:00:00-05:00,3.26,3.3,1.27
2023-10-26 06:00:00-04:00,3.33,3.38,1.54
2023-07-27 06:00:00-04:00,3.45,3.42,-0.97
2023-04-25 06:00:00-04:00,3.96,3.82,-3.56
2023-02-16 07:00:00-05:00,4.14,4.14,0.11
2022-10-27 07:00:00-04:00,4.68,4.68,0.04
2022-07-28 07:00:00-04:00,4.68,4.96,5.9
2022-04-28 06:00:00-04:00,6.0,6.11,1.81
2022-02-10 07:00:00-05:00,6.0,6.77,12.87
2021-10-28 06:00:00-04:00,4.92,6.82,38.63
2021-07-29 07:00:00-04:00,5.62,6.13,8.98
2021-04-29 06:00:00-04:00,7.49,8.79,17.41
2021-02-11 06:00:00-05:00,8.07,10.56,30.88
2020-10-27 06:00:00-04:00,5.32,8.41,58.06
2020-07-28 06:00:00-04:00,0.99,2.57,158.81
