timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,2.83,,
2026-04-30 06:00:00-04:00,2.57,2.91,12.99
2026-01-29 06:00:00-05:00,2.76,2.86,3.63
2025-10-30 06:00:00-04:00,2.57,2.7,5.09
2025-07-24 06:00:00-04:00,2.5,2.78,11.34
2025-04-24 06:00:00-04:00,2.32,2.41,4.0
2025-01-30 06:00:00-05:00,3.42,3.47,1.52
2024-10-24 16:00:00-04:00,3.26,3.34,2.3
2024-07-25 16:00:00-04:00,3.18,3.24,1.75
2024-04-25 16:00:00-04:00,2.91,3.06,5.21
2024-01-25 16:00:00-05:00,3.31,3.35,1.21
2023-10-26 16:00:00-04:00,3.03,3.19,5.24
2023-07-26 16:00:00-04:00,2.95,2.97,0.8
2023-04-28 13:00:00-04:00,2.87,2.86,-0.29
2023-01-26 16:00:00-05:00,3.28,3.27,-0.24
2022-10-27 16:00:00-04:00,3.4,3.26,-4.0
2022-07-28 16:00:00-04:00,3.18,3.23,1.54
2022-04-28 19:00:00-04:00,3.05,3.12,2.33
2022-01-31 06:00:00-05:00,3.27,3.3,0.99
2021-10-29 06:00:00-04:00,3.18,3.21,0.95
2021-08-03 06:00:00-04:00,3.18,3.26,2.66
2021-04-30 06:00:00-04:00,2.94,3.18,8.0
2021-01-29 06:00:00-05:00,3.1,3.14,1.42
2020-10-30 06:00:00-04:00,2.74,2.84,3.62
2020-07-31 08:00:00-04:00,2.58,2.83,9.75
