timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,7.66,,
2026-04-29 06:00:00-04:00,3.18,3.35,5.28
2026-01-28 06:00:00-05:00,4.72,4.45,-5.74
2025-10-22 06:00:00-04:00,6.84,6.98,2.02
2025-07-23 06:00:00-04:00,6.87,7.82,13.91
2025-04-23 06:00:00-04:00,3.25,3.37,3.61
2025-01-29 06:00:00-05:00,4.24,5.6,32.03
2024-10-23 06:00:00-04:00,6.01,6.68,11.08
2024-07-24 06:00:00-04:00,6.57,6.83,3.97
2024-04-24 06:00:00-04:00,3.16,3.47,9.94
2024-01-31 06:00:00-05:00,3.43,3.63,5.71
2023-10-26 06:00:00-04:00,4.71,5.37,13.99
2023-07-27 06:00:00-04:00,5.17,6.15,18.88
2023-04-27 07:00:00-04:00,2.47,2.83,14.59
2023-01-31 07:00:00-05:00,2.55,2.63,3.09
2022-10-27 07:00:00-04:00,4.1,4.1,-0.08
2022-07-28 07:00:00-04:00,4.75,5.0,5.24
2022-04-25 07:00:00-04:00,2.08,2.36,13.24
2022-02-01 07:00:00-05:00,1.99,2.35,18.07
2021-10-25 07:00:00-04:00,3.6,3.4,-5.65
2021-07-26 07:00:00-04:00,4.41,4.57,3.59
2021-04-26 07:00:00-04:00,1.31,2.27,72.65
2021-02-02 07:00:00-05:00,2.64,2.89,9.38
2020-10-19 07:00:00-04:00,3.15,3.53,12.12
2020-07-20 07:00:00-04:00,2.71,2.97,9.47
