timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,1.68,,
2026-04-22 16:00:00-04:00,1.36,1.47,7.87
2026-01-28 16:00:00-05:00,1.17,1.27,8.7
2025-10-22 16:00:00-04:00,1.22,1.26,3.27
2025-07-30 16:00:00-04:00,1.21,1.33,10.36
2025-04-23 16:00:00-04:00,1.0,1.04,4.06
2025-01-29 16:00:00-05:00,0.88,0.91,3.51
2024-10-23 16:00:00-04:00,0.81,0.86,6.51
2024-07-31 16:00:00-04:00,0.76,0.81,7.29
2024-04-24 16:00:00-04:00,0.73,0.78,6.78
2024-01-24 16:00:00-05:00,0.71,0.75,5.69
2023-10-18 16:00:00-04:00,0.61,0.69,11.83
2023-07-26 16:00:00-04:00,0.51,0.6,16.53
2023-04-19 16:00:00-04:00,0.65,0.7,7.12
2023-01-25 16:00:00-05:00,1.0,1.07,7.11
2022-10-19 16:00:00-04:00,0.95,1.04,9.19
2022-07-27 16:00:00-04:00,0.73,0.88,20.45
2022-04-20 16:00:00-04:00,0.75,0.74,-1.41
2022-01-26 16:00:00-05:00,0.85,0.85,0.19
2021-10-20 16:00:00-04:00,0.82,0.84,1.92
2021-07-28 16:00:00-04:00,0.76,0.81,6.27
2021-04-21 16:00:00-04:00,0.66,0.75,13.37
2021-01-27 16:00:00-05:00,0.57,0.6,5.5
2020-10-21 16:00:00-04:00,0.52,0.57,9.15
2020-07-29 16:00:00-04:00,0.41,0.48,18.02
