timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-03 16:00:00-04:00,2.85,,
2026-06-04 16:00:00-04:00,1.68,1.69,0.38
2026-03-17 16:00:00-04:00,4.78,5.01,4.77
2025-12-11 16:00:00-05:00,2.21,2.59,17.1
2025-09-04 16:00:00-04:00,2.85,3.1,8.74
2025-06-05 16:00:00-04:00,2.59,2.6,0.38
2025-03-27 16:00:00-04:00,5.87,6.14,4.63
2024-12-05 16:00:00-05:00,2.72,2.87,5.46
2024-08-29 16:00:00-04:00,2.94,3.15,7.31
2024-06-05 16:00:00-04:00,2.4,2.54,5.8
2024-03-21 16:00:00-04:00,5.03,5.29,5.12
2023-12-07 16:00:00-05:00,2.28,2.53,10.82
2023-08-31 16:00:00-04:00,2.54,2.68,5.5
2023-06-01 16:00:00-04:00,1.99,2.28,14.86
2023-03-28 16:00:00-04:00,4.26,4.4,3.25
2022-12-08 16:00:00-05:00,1.98,2.0,0.94
2022-09-01 16:00:00-04:00,1.86,2.2,18.5
2022-06-02 16:00:00-04:00,1.43,1.48,3.53
2022-03-29 16:00:00-04:00,3.27,3.36,2.64
2021-12-09 16:00:00-05:00,1.39,1.44,3.72
2021-09-08 16:00:00-04:00,1.2,1.59,32.92
2021-06-03 16:00:00-04:00,0.91,1.16,27.59
2021-03-30 16:00:00-04:00,2.49,2.58,3.78
2020-12-10 16:00:00-05:00,0.88,1.16,31.26
2020-09-08 16:00:00-04:00,0.56,0.74,32.35
