timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 16:00:00-04:00,0.48,,
2026-04-22 16:00:00-04:00,0.47,0.45,-5.03
2026-01-28 16:00:00-05:00,0.57,0.58,1.76
2025-10-22 16:00:00-04:00,-0.04,0.11,400.96
2025-07-23 16:00:00-04:00,0.51,0.43,-16.17
2025-04-23 16:00:00-04:00,-0.19,-0.13,32.18
2025-01-30 06:00:00-05:00,0.46,0.56,21.53
2024-10-24 06:00:00-04:00,0.04,0.15,237.76
2024-07-25 06:00:00-04:00,0.51,0.58,14.66
2024-04-25 06:00:00-04:00,-0.34,-0.36,-7.06
2024-01-25 06:00:00-05:00,0.13,0.37,176.61
2023-10-26 06:00:00-04:00,0.39,0.38,-3.12
2023-07-27 06:00:00-04:00,1.1,1.09,-1.08
2023-04-27 06:00:00-04:00,-0.23,-0.27,-18.45
2023-01-26 06:00:00-05:00,-0.11,-0.38,-242.06
2022-10-27 06:00:00-04:00,0.42,0.5,18.07
2022-07-28 06:00:00-04:00,1.18,1.3,10.29
2022-04-28 06:00:00-04:00,-0.3,-0.32,-5.5
2022-01-27 06:00:00-05:00,0.07,0.14,106.43
2021-10-21 06:00:00-04:00,-0.27,-0.23,15.95
2021-07-22 06:00:00-04:00,-0.23,-0.35,-51.15
2021-04-22 06:00:00-04:00,-1.85,-1.72,7.07
2021-01-28 06:00:00-05:00,-1.68,-1.29,23.3
2020-10-22 06:00:00-04:00,-2.24,-1.99,11.36
2020-07-23 06:00:00-04:00,-2.75,-2.67,2.98
