timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 16:00:00-04:00,0.79,,
2026-04-22 16:00:00-04:00,0.76,0.91,20.05
2026-01-28 16:00:00-05:00,0.77,0.85,10.53
2025-10-22 16:00:00-04:00,0.62,0.78,25.37
2025-07-23 16:00:00-04:00,0.53,0.79,48.88
2025-04-23 16:00:00-04:00,0.57,0.59,3.78
2025-01-29 16:00:00-05:00,0.58,0.54,-6.34
2024-10-23 16:00:00-04:00,0.53,0.44,-17.22
2024-07-24 16:00:00-04:00,0.56,0.55,-2.19
2024-04-17 16:00:00-04:00,0.62,0.75,21.79
2024-01-24 16:00:00-05:00,0.61,0.57,-6.51
2023-10-18 16:00:00-04:00,0.55,0.55,-0.12
2023-07-19 16:00:00-04:00,0.43,0.46,6.66
2023-04-19 16:00:00-04:00,0.2,0.28,37.3
2023-01-25 16:00:00-05:00,-0.09,-0.19,-101.16
2022-10-19 16:00:00-04:00,-0.25,-0.27,-7.61
2022-07-20 16:00:00-04:00,-0.29,-0.34,-18.55
2022-04-27 16:00:00-04:00,-0.24,-0.4,-64.12
2022-01-26 16:00:00-05:00,-0.23,-0.22,6.08
2021-10-20 16:00:00-04:00,-0.26,-0.45,-74.2
2021-07-21 16:00:00-04:00,-0.17,-0.26,-49.29
2021-04-21 16:00:00-04:00,-0.25,-0.25,1.78
2021-01-27 16:00:00-05:00,-0.35,-0.37,-7.0
2020-10-21 16:00:00-04:00,-0.72,-0.67,6.86
2020-07-22 16:00:00-04:00,-0.8,-1.05,-30.85
