timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,0.56,,
2026-05-05 16:00:00-04:00,-0.32,-1.85,-485.68
2026-02-19 16:00:00-05:00,-1.05,-1.06,-1.22
2025-11-04 17:00:00-05:00,1.49,0.73,-51.15
2025-08-07 16:00:00-04:00,1.02,0.41,-59.8
2025-05-01 16:00:00-04:00,-0.16,-0.32,-100.0
2025-02-20 17:00:00-05:00,-1.05,1.39,232.41
2024-11-11 16:00:00-05:00,1.67,1.89,13.07
2024-07-30 16:00:00-04:00,1.08,1.53,41.87
2024-05-02 16:00:00-04:00,-0.14,0.6,541.21
2024-02-22 16:00:00-05:00,-0.94,-1.02,-8.25
2023-11-02 16:00:00-04:00,1.15,2.19,90.53
2023-07-27 16:00:00-04:00,0.68,0.95,38.44
2023-05-04 16:00:00-04:00,-0.47,0.14,128.69
2023-02-23 16:00:00-05:00,-0.92,-1.02,-10.71
2022-11-03 16:00:00-04:00,1.05,1.39,33.0
2022-08-04 16:00:00-04:00,0.52,0.66,28.09
2022-05-05 16:00:00-04:00,-0.77,-0.39,49.04
2022-02-23 16:00:00-05:00,-0.53,-0.96,-80.66
2021-11-04 16:00:00-04:00,-0.06,0.19,428.21
2021-08-03 16:00:00-04:00,-1.2,-0.9,24.81
2021-05-06 16:00:00-04:00,-1.52,-1.44,5.32
2021-02-25 16:00:00-05:00,-2.26,-2.04,9.77
2020-11-05 16:00:00-05:00,-2.15,-2.45,-14.04
2020-08-05 16:00:00-04:00,-2.09,-2.67,-27.95
