timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,1.31,,
2026-04-22 07:00:00-04:00,0.88,1.04,18.62
2026-02-10 07:00:00-05:00,0.79,0.82,3.21
2025-10-29 07:00:00-04:00,1.03,0.97,-5.71
2025-07-31 07:00:00-04:00,1.08,1.3,20.71
2025-04-23 07:00:00-04:00,0.91,0.87,-4.81
2025-02-11 07:00:00-05:00,0.87,0.89,1.94
2024-10-29 07:00:00-04:00,1.09,1.08,-0.97
2024-07-25 07:00:00-04:00,1.18,1.2,1.91
2024-04-24 07:00:00-04:00,0.88,0.93,5.23
2024-02-08 07:00:00-05:00,0.66,0.83,26.52
2023-10-26 07:00:00-04:00,0.92,1.0,9.29
2023-07-27 07:00:00-04:00,0.96,1.19,23.65
2023-04-26 07:00:00-04:00,0.63,0.87,38.3
2023-02-09 07:00:00-05:00,0.68,0.65,-4.65
2022-10-26 07:00:00-04:00,1.06,0.98,-7.58
2022-07-28 07:00:00-04:00,1.18,1.14,-3.3
2022-04-27 07:00:00-04:00,0.85,0.95,12.23
2022-02-08 07:00:00-05:00,0.69,0.67,-2.39
2021-10-27 07:00:00-04:00,0.88,0.99,12.37
2021-07-29 07:00:00-04:00,1.03,1.14,10.26
2021-04-28 07:00:00-04:00,0.66,0.89,34.53
2021-02-09 07:00:00-05:00,0.74,0.75,0.86
2020-10-28 07:00:00-04:00,0.78,1.04,33.16
2020-07-30 07:00:00-04:00,0.69,0.84,21.11
